authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,issue,type_mapping,packet
"Schroder UH, Muller T, Schreiber R, Stolle A, Zuschratter W, Balschun D, Jork R, Reymann KG",18832015,,,10.1016/j.neuroscience.2008.08.063,,,385,395,The potent non-competitive mGlu1 receptor antagonist BAY 36-7620 differentially affects synaptic plasticity in area cornu ammonis 1 of rat hippocampal slices and impairs acquisition in the water maze task in mice.,2008 Nov 19,Neuroscience,157,2,,
"Middleton S, Jalics J, Kispersky T, Lebeau FE, Roopun AK, Kopell NJ, Whittington MA, Cunningham MO",18997013,,,10.1073/pnas.0809302105,,,18572,18577,NMDA receptor-dependent switching between different gamma rhythm-generating microcircuits in entorhinal cortex.,2008 Nov 25,Proc Natl Acad Sci U S A,105,47,,
"Larimer P, Strowbridge BW",19020015,,,10.1523/JNEUROSCI.3612-08.2008,,,12212,12223,Nonrandom local circuits in the dentate gyrus.,2008 Nov 19,J Neurosci,28,47,,0
"Garden DL, Dodson PD, O'Donnell C, White MD, Nolan MF",19081381,,,,,,875,89,Tuning of synaptic integration in the medial entorhinal cortex to the organization of grid cell firing fields. ,2008 Dec 10,Neuron,60,,,
"Torres-Reveron A, Khalid S, Williams TJ, Waters EM, Jacome L, Luine VN, Drake CT, McEwen BS, Milner TA",19150393,,,10.1016/j.neuroscience.2008.12.023,,,204,216,Hippocampal dynorphin immunoreactivity increases in response to gonadal steroids and is positioned for direct modulation by ovarian steroid receptors.,2009 Mar 3,Neuroscience,159,1,,
"Oren I, Nissen W, Kullmann DM, Somogyi P, Lamsa KP",19176803,,,10.1523/JNEUROSCI.3251-08.2009,,,939,950,Role of ionotropic glutamate receptors in long-term potentiation in rat hippocampal CA1 oriens-lacunosum moleculare interneurons.,2009 Jan 28,J Neurosci,29,4,,
"Seress L, Frotscher M",19189715,,,10.1002/cne.902930208,,,253,267,Morphological variability is a characteristic feature of granule cells in the primate fascia dentata: a combined Golgi/electron microscope study.,1990 Mar 8,J Comp Neurol,293,2,,0
"Hemond P, Migliore M, Ascoli GA, Jaffe DB",19232379,,,10.1016/j.neuroscience.2009.01.082,,,359,370,The membrane response of hippocampal CA3b pyramidal neurons near rest: Heterogeneity of passive properties and the contribution of hyperpolarization-activated currents.,2009 May 5,Neuroscience,160,2,,
"van Strien NM, Cappaert NL, Witter MP",19300446,,,10.1038/nrn2614,,,272,282,The anatomy of memory: an interactive overview of the parahippocampal-hippocampal network.,2009 Apr,Nat Rev Neurosci,10,4,,0
"Karson MA, Tang AH, Milner TA, Alger BE",19339609,,,10.1523/JNEUROSCI.5264-08.2009,,,4140,4154,Synaptic cross talk between perisomatic-targeting interneuron classes expressing cholecystokinin and parvalbumin in hippocampus.,2009 Apr 1,J Neurosci,29,13,,
"Szabadics J, Soltesz I",19339618,,,10.1523/JNEUROSCI.5390-08.2009,,,4239,4251,Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus.,2009 Apr 1,J Neurosci,29,13,2000: CA3:PC-ab: CA3 pyramidal cell ### 2030: CA3:BiC-ivy: CA3 ivy cell ### 2036: CA3:MFA-1: CA3 mossy fiber-associated neuron ### 2019: CA3:SLC: CA3 spiny lucidum cell,1
