authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,issue,type_mapping,packet
"Schlessinger AR, Cowan WM, Gottlieb DI",1112911,,,10.1002/cne.901590202,,,149,175,An autoradiographic study of the time of origin and the pattern of granule cell migration in the dentate gyrus of the rat.,1975 Jan 15,J Comp Neurol,159,2,,0
Steward O,1270625,,,10.1002/cne.901670303,,,285,314,Topographic organization of the projections from the entorhinal area to the hippocampal formation of the rat.,1976 Jun 1,J Comp Neurol,167,3,6092: EC:PC_III: projections of the entorhinal area to regio superior ### 6017: EC:PC_III_sm: EC projections,1
"Toth K, Freund TF",1279455,,,10.1016/0306-4522(92)90357-8,,,793,805,Calbindin D28k-containing nonpyramidal cells in the rat hippocampus: their immunoreactivity for GABA and projection to the medial septum.,1992 Aug,Neuroscience,49,4,"2023: CA3:R-CB: CA3 calbindin D28k-containing non-pyramidal cells, CA3 calbindin D28k-immunoreactive non-pyramidal cells, CA3 CaBP-positive neurons, CA3 calbindin D28k-positive non-pyramidal cells ### 2022: CA3:CB: CA3 calbindin D28k-containing non-pyramidal cells, CA3 calbindin D28k-immunoreactive non-pyramidal cells, CA3 CaBP-positive neurons, CA3 calbindin D28k-positive non-pyramidal cells ### 4028: CA1:SCA-SR-CB: CA1 calbindin D28k-containing non-pyramidal cells, CA1 calbindin D28k-immunoreactive non-pyramidal cells, CA1 CaBP-positive neurons, CA1 calbindin D28k-positive non-pyramidal cells ### 4033: CA1:CB-SOSO: CA1 calbindin D28l-immunoreactive non-pyramidal cells, CA1 CaBP-containing non-pyramidal cells, CA1 CaBP-positive non-pyramidal cells ### 2018: CA3:RL_CB: CA3 calbindin D28k-containing nonpyramidal cells ### 4064: CA1:CB-PPA: CA1 CaBP-positive neurons ### 4048: CA1:bi_CB: CA1 CaBP-positive neurons",1
"Buckmaster PS, Strowbridge BW, Kunkel DD, Schmiege DL, Schwartzkroin PA",1284975,,,10.1002/hipo.450020403,,,349,362,Mossy cell axonal projections to the dentate gyrus molecular layer in the rat hippocampal slice.,1992 Oct,Hippocampus,2,4,1002: DG:MC: Dentate gyrus mossy cell ### 1031: DG:quad_MC: DG mossy cells,1
"Freund TF, Ylinen A, Miettinen R, Pitkanen A, Lahtinen H, Baimbridge KG, Riekkinen PJ",1347249,,,,,,27,38,Pattern of neuronal death in the rat hippocampus after status epilepticus. Relationship to calcium binding protein content and ischemic vulnerability.,1992 Jan,Brain Res Bull,28,1,,
"Sperk G, Marksteiner J, Gruber B, Bellmann R, Mahata M, Ortler M",1360155,,,,,,831,846,Functional changes in neuropeptide Y- and somatostatin-containing neurons induced by limbic seizures in the rat.,1992 Oct,Neuroscience,50,4,,
"Li XG, Somogyi P, Tepper JM, Buzsaki G",1385200,,,10.1007/BF00230934,,,519,525,Axonal and dendritic arborization of an intracellularly labeled chandelier cell in the CA1 region of rat hippocampus.,1992,Exp Brain Res,90,3,,1
"Brene S, Lindefors N, Ballarin M, Persson H",1436505,,,,,,611,618,Kainic acid-mediated increase of preprotachykinin-A messenger RNA expression in the rat hippocampus and a region-selective attenuation by dexamethasone.,1992 Oct,Neuroscience,50,3,,
"Gulyas AI, Miettinen R, Jacobowitz DM, Freund TF",1584417,,,10.1016/0306-4522(92)90334-X,,,1,27,Calretinin is present in non-pyramidal cells of the rat hippocampus--I. A new type of neuron specifically associated with the mossy fibre system.,1992,Neuroscience,48,1,,0
"Miettinen R, Gulyas AI, Baimbridge KG, Jacobowitz DM, Freund TF",1584423,,,10.1016/0306-4522(92)90335-Y,,,29,43,Calretinin is present in non-pyramidal cells of the rat hippocampus--II. Co-existence with other calcium binding proteins and GABA.,1992,Neuroscience,48,1,,0
"Staley KJ, Otis TS, Mody I",1597717,,,,,,1346,1358,Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,1992 May,J Neurophysiol,67,5,,
"van der Zee EA, Benoit R, Strosberg AD, Luiten PG",1675593,,,,,,343,351,Coexistence of muscarinic acetylcholine receptors and somatostatin in nonpyramidal neurons of the rat dorsal hippocampus.,1991 Mar,Brain Res Bull,26,3,,
"Danos P, Frotscher M, Freund TF",1676925,,,,,,195,202,"Non-pyramidal cells in the CA3 region of the rat hippocampus: relationships of fine structure, synaptic input and chemical characteristics.",1991 Apr 19,Brain Res,546,2,,
"Soriano E, Nitsch R, Frotscher M",1690225,,,10.1002/cne.902930102,,,1,25,Axo-axonic chandelier cells in the rat fascia dentata: Golgi-electron microscopy  and immunocytochemical studies.,1990 Mar 1,J Comp Neurol,293,1,,
"Lingenhohl K, Finch DM",1713171,,,10.1007/BF00231762,,,57,74,Morphological characterization of rat entorhinal neurons in vivo: soma-dendritic  structure and axonal domains.,1991,Exp Brain Res,84,1,"6082: EC:excitatory: MEC layer IIb stellate cells, MEC layer II pyramids ### 6095: EC:HOBIPPY: EC layer IV pyramidal cell, EC layer V pyramidal cell, cell #7, cell #9 ### 6085: EC:PC_V-DG: EC cell no8, EC cell no13, EC layer V pyramidal cell, EC layer V spindle shaped cell ### 6050: EC:GN_IV-V: MEC layer IV/V globular / nonpyramidal cell; cell #19",1
"Gulyas AI, Toth K, Danos P, Freund TF",1721075,,,10.1002/cne.903120305,,,371,378,"Subpopulations of GABAergic neurons containing parvalbumin, calbindin D28k, and cholecystokinin in the rat hippocampus.",1991 Oct 15,J Comp Neurol,312,3,"2022: CA3:CB: CA3 calbindin D28k positive nonpyramidal cells, CA3 CaBP positive nonpyramidal cells ### 4028: CA1:SCA-SR-CB: CA1 calbindin D28k positive nonpyramidal cells, CA1 CaBP positive nonpyramidal cells",1
"Frotscher M, Seress L, Schwerdtfeger WK, Buhl E",1744242,,,10.1002/cne.903120111,,,145,163,The mossy cells of the fascia dentata: a comparative study of their fine structure and synaptic connections in rodents and primates.,1991 Oct 1,J Comp Neurol,312,1,1002: DG:MC: Dentate gyrus mossy cell,1
"West MJ, Slomianka L, Gundersen HJ",1793176,,,10.1002/ar.1092310411,,,482,497,Unbiased stereological estimation of the total number of neurons in thesubdivisions of the rat hippocampus using the optical fractionator.,1991 Dec,Anat Rec,231,4,,0
"Douglass J, Grimes L, Shook J, Lee PH, Hong JS",1850080,,,,,,79,86,Systemic administration of kainic acid differentially regulates the levels of prodynorphin and proenkephalin mRNA and peptides in the rat hippocampus.,1991 Jan,Brain Res Mol Brain Res,9,02-Jan,,
"Leranth C, Malcolm AJ, Frotscher M",1971287,,,10.1002/cne.902950110,,,111,122,Afferent and efferent synaptic connections of somatostatin-immunoreactive neurons in the rat fascia dentata.,1990 May 1,J Comp Neurol,295,1,1014: DG:fusiform: DG SS-positive cells,0
"Germroth P, Schwerdtfeger WK, Buhl EH",2026788,,,10.1002/cne.903050205,,,215,231,Ultrastructure and aspects of functional organization of pyramidal and nonpyramidal entorhinal projection neurons contributing to the perforant path.,1991 Mar 8,J Comp Neurol,305,2,"6017: EC:PC_III_sm: EC layer III pyramid-like cells, EC layer III pyramidal neurons ### 6053: EC:MPI-BC_II: EC layer II multipolar neurons ### 6049: EC:MPI_3_III: EC layer III multipolar neurons",1
Scharfman HE,2045880,,,,,,1660,1673,Dentate hilar cells with dendrites in the molecular layer have lower thresholds for synaptic activation by perforant path than granule cells.,1991 Jun,J Neurosci,11,6,,
"Zalutsky RA, Nicoll RA",2114039,,,,,,1619,24,Comparison of two forms of long-term potentiation in single hippocampal neurons. ,1990 Jun 29,Science,248,,,
Celio MR,2199841,,,10.1016/0306-4522(90)90091-H,,,375,475,Calbindin D-28k and parvalbumin in the rat nervous system.,1990,Neuroscience,35,2,4064: CA1:CB-PPA: CA1 CaBP+ neurons,0
"Amaral DG, Ishizuka N, Claiborne B",2203093,,,,,,1,11,"Neurons, numbers and the hippocampal network.",1990,Prog Brain Res,83,,,0
West MJ,2203095,,,,,,13,36,"Stereological studies of the hippocampus: a comparison of the hippocampal subdivisions of diverse species including hedgehogs, laboratory rodents, wild mice and men.",1990,Prog Brain Res,83,,,0
"Lacaille JC, Williams S",2215928,,,10.1016/0306-4522(90)90431-3,,,349,359,Membrane properties of interneurons in stratum oriens-alveus of the CA1 region of rat hippocampus in vitro.,1990,Neuroscience,36,2,4055: CA1:O-A: CA1 interneurons in O-A ### 4051: CA1:O-A-2: CA1 interneurons in stratum oriens near the alveus junction; CA1 O-A interneurons,1
"Jaffe D, Johnston D",2230936,,,10.1152/jn.1990.64.3.948,,,948,60,Induction of long-term potentiation at hippocampal mossy-fiber synapses follows a Hebbian rule. ,1990 Sep,J Neurophysiol,64,3,,
"Deller T, Leranth C",2266195,,,10.1002/cne.903000312,,,433,447,Synaptic connections of neuropeptide Y (NPY) immunoreactive neurons in the hilar  area of the rat hippocampus.,1990 Oct 15,J Comp Neurol,300,3,,0
"Ribak CE, Nitsch R, Seress L",2273087,,,10.1002/cne.903000402,,,449,461,Proportion of parvalbumin-positive basket cells in the GABAergic innervation of pyramidal and granule cells of the rat hippocampal formation.,1990 Oct 22,J Comp Neurol,300,4,,0
"Claiborne BJ, Amaral DG, Cowan WM",2289972,,,10.1002/cne.903020203,,,206,219,"Quantitative, three-dimensional analysis of granule cell dendrites in the rat dentate gyrus.",1990 Dec 8,J Comp Neurol,302,2,1000: DG:GC: Dentate gyrus granule cell,1
"Sayer RJ, Friedlander MJ, Redman SJ",2319304,PMC6570142,,,,,826,36,The time course and amplitude of EPSPs evoked at synapses between pairs of CA3/CA1 neurons in the hippocampal slice. ,1990 Mar,J Neurosci,10,3,,
"Bilkey DK, Schwartzkroin PA",2357533,,,10.1016/0006-8993(90)90437-G,,,77,83,Variation in electrophysiology and morphology of hippocampal CA3 pyramidal cells.,1990 Apr 23,Brain Res,514,1,,
"Ishizuka N, Weber J, Amaral DG",2358523,,,10.1002/cne.902950407,,,580,623,Organization of intrahippocampal projections originating from CA3 pyramidal cells in the rat.,1990 May 22,J Comp Neurol,295,4,"2000: CA3:PC-ab: pyramidal cell located in mid CA3, pyramidal cell located in distal CA3 ### 2004: CA3:PC-c: pyramidal cell located proximally in CA3 ### 3000: CA2:PC: CA2 projection",1
"Kosaka T, Kosaka K, Tateishi K, Hamaoka Y, Yanaihara N, Wu JY, Hama K",2413092,,,10.1002/cne.902390408,,,420,430,GABAergic neurons containing CCK-8-like and/or VIP-like immunoreactivities in the rat hippocampus and dentate gyrus.,1985 Sep 22,J Comp Neurol,239,4,,0
"Ribak CE, Seress L, Amaral DG",2419523,,,10.1007/BF01170832,,,835,857,"The development, ultrastructure and synaptic connections of the mossy cells of the dentate gyrus.",1985 Oct,J Neurocytol,14,5,1002: DG:MC: Dentate gyrus mossy cell,1
"Marti-Subirana A, Soriano E, Garcia-Verdugo JM",2447048,,,,,,31,47,Morphological aspects of the ectopic granule-like cellular populations in the albino rat hippocampal formation: a Golgi study.,1986 Feb,J Anat,144,,,
"Soriano E, Frotscher M",2611653,,,10.1016/0006-8993(89)91722-8,,,170,174,A GABAergic axo-axonic cell in the fascia dentata controls the main excitatory hippocampal pathway.,1989 Nov 27,Brain Res,503,1,1010: DG:AA: Dentate gyrus axo-axonic cells,1
"Germroth P, Schwerdtfeger WK, Buhl EH",2765919,,,10.1016/0006-8993(89)90162-5,,,187,192,GABAergic neurons in the entorhinal cortex project to the hippocampus.,1989 Aug 7,Brain Res,494,1,6049: EC:MPI_3_III: EC layer II and layer III multipolar cells,1
"Germroth P, Schwerdtfeger WK, Buhl EH",2771045,,,10.1016/0306-4522(89)90161-9,,,683,691,Morphology of identified entorhinal neurons projecting to the hippocampus. A light microscopical study combining retrograde tracing and intracellular injection.,1989,Neuroscience,30,3,6092: EC:PC_III: EC layer III pyramids ### 6018: EC:SC_III: EC layer II / III spiny stellate cells ### 6049: EC:MPI_3_III: EC sparsely spinous multipolar neurons,1
"Williams S, Johnston D",2845578,,,10.1126/science.2845578,,,84,7,Muscarinic depression of long-term potentiation in CA3 hippocampal neurons. ,1988 Oct 7,Science,242,4875,,
"Bakst I, Avendano C, Morrison JH, Amaral DG",2872280,,,,,,1452,1462,An experimental analysis of the origins of somatostatin-like immunoreactivity in  the dentate gyrus of the rat.,1986 May,J Neurosci,6,5,,0
"McLean S, Rothman RB, Jacobson AE, Rice KC, Herkenham M",2880880,,,10.1002/cne.902550403,,,497,510,"Distribution of opiate receptor subtypes and enkephalin and dynorphin immunoreactivity in the hippocampus of squirrel, guinea pig, rat, and hamster.",1987 Jan 22,J Comp Neurol,255,4,,
"Rapp PR, Amaral DG",2900062,,,,,,231,239,The time of origin of somatostatin-immunoreactive neurons in the rat hippocampal  formation.,1988 Jun 1,Brain Res,469,02-Jan,,0
Sloviter RS,2925892,,,10.1002/cne.902800203,,,183,196,Calcium-binding protein (calbindin-D28k) and parvalbumin immunocytochemistry: localization in the rat hippocampus with specific reference to the selective vulnerability of hippocampal neurons to seizure activity.,1989 Feb 8,J Comp Neurol,280,2,"4033: CA1:CB-SOSO: CA1 CaBP-LI, CA1 calbindin-positive  ### 4064: CA1:CB-PPA: CA1 CaBP-positive neurons",1
"Woodson W, Nitecka L, Ben-Ari Y",2925894,,,10.1002/cne.902800207,,,254,271,Organization of the GABAergic system in the rat hippocampal formation: a quantitative immunocytochemical study.,1989 Feb 8,J Comp Neurol,280,2,,0
"Harris EW, Cotman CW",3022192,,,10.1016/0304-3940(86)90451-9,,,132,7,Long-term potentiation of guinea pig mossy fiber responses is not blocked by N-methyl D-aspartate antagonists. ,1986 Sep 25,Neurosci Lett,70,1,,
"Kosaka T, Wu JY, Benoit R",3169171,,,10.1007/BF00247498,,,388,398,GABAergic neurons containing somatostatin-like immunoreactivity in the rat hippocampus and dentate gyrus.,1988,Exp Brain Res,71,2,,0
"Kunkel DD, Lacaille JC, Schwartzkroin PA",3187908,,,10.1002/syn.890020405,,,382,394,Ultrastructure of stratum lacunosum-moleculare interneurons of hippocampal CA1 region.,1988,Synapse,2,4,4005: CA1:NGF-LM: CA1 L-M interneuron,1
"Babb TL, Pretorius JK, Kupfer WR, Brown WJ",3209750,,,10.1002/cne.902780108,,,121,138,Distribution of glutamate-decarboxylase-immunoreactive neurons and synapses in the rat and monkey hippocampus: light and electron microscopy.,1988 Dec 1,J Comp Neurol,278,1,,0
"Seress L, Ribak CE",3224425,,,10.1016/0165-3806(88)90218-0,,,197,209,The development of GABAergic neurons in the rat hippocampal formation. An immunocytochemical study.,1988 Dec 1,Brain Res Dev Brain Res,44,2,,0
"Kawaguchi Y, Hama K",3234499,,,10.1007/BF00250594,,,494,502,Physiological heterogeneity of nonpyramidal cells in rat hippocampal CA1 region.,1988,Exp Brain Res,72,3,4028: CA1:SCA-SR-CB: CA1 type II nonpyramidal cell,1
"Madeira MD, Paula-Barbosa M, Cadete-Leite A, Tavares MA",3235823,,,,,,643,650,Unbiased estimate of hippocampal granule cell numbers in hypothyroid and in sex-age-matched control rats.,1988,J Hirnforsch,29,6,,0
"West MJ, Coleman PD, Flood DG",3292009,,,10.1016/0006-8993(88)91114-6,,,167,172,Estimating the number of granule cells in the dentate gyrus with the disector.,1988 May 10,Brain Res,448,1,,0
"Kawaguchi Y, Katsumaru H, Kosaka T, Heizmann CW, Hama K",3304536,,,10.1016/0006-8993(87)90921-8,,,369,374,Fast spiking cells in rat hippocampus (CA1 region) contain the calcium-binding protein parvalbumin.,1987 Jul 28,Brain Res,416,2,4037: CA1:BC: CA1 fast spiking cells,1
"Kosaka T, Katsumaru H, Hama K, Wu JY, Heizmann CW",3315112,,,10.1016/0006-8993(87)90575-0,,,119,130,GABAergic neurons containing the Ca2+-binding protein parvalbumin in the rat hippocampus and dentate gyrus.,1987 Sep 1,Brain Res,419,02-Jan,,0
"Lacaille JC, Schwartzkroin PA",3357023,,,,,,1400,1410,"Stratum lacunosum-moleculare interneurons of hippocampal CA1 region. I. Intracellular response characteristics, synaptic responses, and morphology.",1988 Apr,J Neurosci,8,4,,0
"Lacaille JC, Schwartzkroin PA",3357024,,,,,,1411,1424,Stratum lacunosum-moleculare interneurons of hippocampal CA1 region. II. Intrasomatic and intradendritic recordings of local circuit synaptic interactions.,1988 Apr,J Neurosci,8,4,"4005: CA1:NGF-LM: CA1 lacunosum-moleculare interneuron, CA1 LM interneuron",1
"Blaker SN, Armstrong DM, Gage FH",3385020,,,10.1002/cne.902720109,,,127,138,Cholinergic neurons within the rat hippocampus: response to fimbria-fornix transection.,1988 Jun 1,J Comp Neurol,272,1,4007: CA1:CH: CA1 small cholinergic cells ### 4007: CA1:CH: CA1 ChAT-positive neurons,0
"Tamamaki N, Abe K, Nojyo Y",3401733,,,10.1016/0006-8993(88)90030-3,,,255,272,Three-dimensional analysis of the whole axonal arbors originating from single CA2 pyramidal neurons in the rat hippocampus with the aid of a computer graphic technique.,1988 Jun 14,Brain Res,452,02-Jan,3000: CA2:PC: CA2 pyramidal neuron,1
Seress L,3418118,,,,,,335,340,Interspecies comparison of the hippocampal formation shows increased emphasis on  the regio superior in the Ammon's horn of the human brain.,1988,J Hirnforsch,29,3,,0
"Kohler C, Eriksson L, Davies S, Chan-Palay V",3514690,,,10.1002/cne.902440310,,,384,400,Neuropeptide Y innervation of the hippocampal region in the rat and monkey brain.,1986 Feb 15,J Comp Neurol,244,3,,
"Matthews DA, Salvaterra PM, Crawford GD, Houser CR, Vaughn JE",3548884,,,10.1016/0006-8993(87)91044-4,,,30,43,An immunocytochemical study of choline acetyltransferase-containing neurons and axon terminals in normal and partially deafferented hippocampal formation.,1987 Jan 27,Brain Res,402,1,4007: CA1:CH: CA1  small ChAT-positive somata ### 4007: CA1:CH: CA1  ChAT-positive neurons ### 4007: CA1:CH: CA1 varicose fibers ### 4007: CA1:CH: CA1  ChAT-positive puncta ### 4007: CA1:CH: CA1 ChAT-positive neurons,0
"Kawaguchi Y, Hama K",3607424,,,10.1016/0006-8993(87)90700-1,,,190,195,Two subtypes of non-pyramidal cells in rat hippocampal formation identified by intracellular recording and HRP injection.,1987 May 12,Brain Res,411,1,,0
"Tamamaki N, Abe K, Nojyo Y",3607449,,,10.1016/0006-8993(87)91452-1,,,156,160,Columnar organization in the subiculum formed by axon branches originating from single CA1 pyramidal neurons in the rat hippocampus.,1987 May 26,Brain Res,412,1,4000: CA1:PC: CA1 pyramidal cell,1
"Lacaille JC, Mueller AL, Kunkel DD, Schwartzkroin PA",3612227,,,,,,1979,1993,Local circuit interactions between oriens/alveus interneurons and CA1 pyramidal cells in hippocampal slices: electrophysiology and morphology.,1987 Jul,J Neurosci,7,7,"4055: CA1:O-A: CA1 oriens/alveus interneurons, CA1 O/A intenreurons ### 4051: CA1:O-A-2: CA1 oriens/alveus interneurons; CA1 O/A interneurons",1
"Claiborne BJ, Amaral DG, Cowan WM",3700723,,,10.1002/cne.902460403,,,435,458,A light and electron microscopic analysis of the mossy fibers of the rat dentate  gyrus.,1986 Apr 22,J Comp Neurol,246,4,1000: DG:GC: Dentate gyrus granule cell,1
"Frotscher M, Schlander M, Leranth C",3779810,,,10.1007/BF00215891,,,293,301,Cholinergic neurons in the hippocampus. A combined light- and electron-microscopic immunocytochemical study in the rat.,1986,Cell Tissue Res,246,2,4007: CA1:CH: CA1 CHAT-immunoreactive neurons ### 4007: CA1:CH: CA1 cholinergic neurons,0
"Kisvarday ZF, Martin KA, Freund TF, Magloczky Z, Whitteridge D, Somogyi P",3803491,,,10.1007/BF00340492,,,541,552,Synaptic targets of HRP-filled layer III pyramidal cells in the cat striate cortex.,1986,Exp Brain Res,64,3,,0
"Sloviter RS, Nilaver G",3819038,,,10.1002/cne.902560105,,,42,60,"Immunocytochemical localization of GABA-, cholecystokinin-, vasoactive intestinal polypeptide-, and somatostatin-like immunoreactivity in the area dentata and hippocampus of the rat.",1987 Feb 1,J Comp Neurol,256,1,,0
"Boss BD, Peterson GM, Cowan WM",3896391,,,10.1016/0006-8993(85)90257-4,,,144,150,On the number of neurons in the dentate gyrus of the rat.,1985 Jul 8,Brain Res,338,1,,0
"Desmond NL, Levy WB",3991060,,,10.1016/S0304-3940(85)80082-3,,,219,224,Granule cell dendritic spine density in the rat hippocampus varies with spine shape and location.,1985 Mar 15,Neurosci Lett,54,03-Feb,,0
"Frotscher M, Leranth C",4044938,,,10.1002/cne.902390210,,,237,246,Cholinergic innervation of the rat hippocampus as revealed by choline acetyltransferase immunocytochemistry: a combined light and electron microscopic  study.,1985 Sep 8,J Comp Neurol,239,2,4007: CA1:CH: CA1 ChAT-immunoreactive fibers,0
"Blackstad TW, Brink K, Hem J, Jeune B",4907846,,,10.1002/cne.901380404,,,433,449,Distribution of hippocampal mossy fibers in the rat. An experimental study with silver impregnation methods.,1970 Apr,J Comp Neurol,138,4,"1000: DG:GC: Dentate gyrus granule cell, mossy fibers",1
"Kohler C, Chan-Palay V",6131400,,,,,,259,264,Somatostatin-like immunoreactive neurons in the hippocampus: an immunocytochemical study in the rat.,1982 Dec 31,Neurosci Lett,34,3,,
"Morrison JH, Benoit R, Magistretti PJ, Ling N, Bloom FE",6135179,,,10.1016/0304-3940(82)90165-3,,,137,142,Immunohistochemical distribution of pro-somatostatin-related peptides in hippocampus.,1982 Dec 30,Neurosci Lett,34,2,,0
Gall C,6147175,,,,,,327,331,Ontogeny of dynorphin-like immunoreactivity in the hippocampal formation of the rat.,1984 Jul 30,Brain Res,307,02-Jan,,
"Schmechel DE, Vickrey BG, Fitzpatrick D, Elde RP",6147798,,,10.1016/0304-3940(84)90518-4,,,227,232,GABAergic neurons of mammalian cerebral cortex: widespread subclass defined by somatostatin content.,1984 Jun 29,Neurosci Lett,47,3,,0
"Somogyi P, Hodgson AJ, Smith AD, Nunzi MG, Gorio A, Wu JY",6149275,,,,,,2590,2603,Different populations of GABAergic neurons in the visual cortex and hippocampus of cat contain somatostatin- or cholecystokinin-immunoreactive material.,1984 Oct,J Neurosci,4,10,,0
Kohler C,6197428,,,10.1002/cne.902210302,,,247,262,A morphological analysis of vasoactive intestinal polypeptide (VIP)-like immunoreactive neurons in the area dentata of the rat brain.,1983 Dec 10,J Comp Neurol,221,3,,
"Roberts GW, Woodhams PL, Polak JM, Crow TJ",6200800,,,,,,35,77,Distribution of neuropeptides in the limbic system of the rat: the hippocampus.,1984 Jan,Neuroscience,11,1,,
"Seress L, Ribak CE",6315469,,,10.1007/BF00239181,,,173,182,GABAergic cells in the dentate gyrus appear to be local circuit and projection neurons.,1983,Exp Brain Res,50,03-Feb,,0
"Gall C, Brecha N, Chang KJ, Karten HJ",6371581,,,,,,359,379,Ontogeny of enkephalin-like immunoreactivity in the rat hippocampus.,1984 Feb,Neuroscience,11,2,,
"Levey AI, Wainer BH, Rye DB, Mufson EJ, Mesulam MM",6514183,,,10.1016/0306-4522(84)90234-3,,,341,353,Choline acetyltransferase-immunoreactive neurons intrinsic to rodent cortex and distinction from acetylcholinesterase-positive neurons.,1984 Oct,Neuroscience,13,2,4007: CA1:CH: CA1 ChAT-immunoreactive cells ### 4007: CA1:CH: CA1 AChEpositive cells,0
"Ribak CE, Seress L",6619905,,,10.1007/BF01181525,,,577,597,Five types of basket cell in the hippocampal dentate gyrus: a combined Golgi and  electron microscopic study.,1983 Aug,J Neurocytol,12,4,"1033: DG:BC: Dentate gyrus basket cells, Dentate gyrus pyramidal basket cells, dentate gyrus fusiform basket cells, dentate gyrus molecular layer basket cells, dentate gyrus inverted fusiform basket cells, dentate gyrus horizontal basket cells",1
"Baimbridge KG, Miller JJ",6751467,,,10.1016/0006-8993(82)90804-6,,,223,229,"Immunohistochemical localization of calcium-binding protein in the cerebellum, hippocampal formation and olfactory bulb of the rat.",1982 Aug 12,Brain Res,245,2,4064: CA1:CB-PPA: CA1 CaBP immunoreactive fibers,0
"McGinty JF, Henriksen SJ, Goldstein A, Terenius L, Bloom FE",6759828,,,,,,1797,1800,Opioid peptide identity and localization in hippocampus.,1982 Oct 18-25,Life Sci,31,16-17,,
"Houser CR, Crawford GD, Barber RP, Salvaterra PM, Vaughn JE",6850348,,,10.1016/0006-8993(83)91312-4,,,97,119,Organization and morphological characteristics of cholinergic neurons: an immunocytochemical study with a monoclonal antibody to choline acetyltransferase.,1983 Apr 25,Brain Res,266,1,4007: CA1:CH: CA1 cholinergic puncta,0
"Bayer SA, Yackel JW, Puri PS",7079742,,,10.1126/science.7079742,,,890,892,Neurons in the rat dentate gyrus granular layer substantially increase during juvenile and adult life.,1982 May 21,Science,216,4548,,0
Bayer SA,7095040,,,10.1007/BF00238626,,,315,323,Changes in the total number of dentate granule cells in juvenile and adult rats:  a correlated volumetric and 3H-thymidine autoradiographic study.,1982,Exp Brain Res,46,3,,0
"Ruth RE, Collier TJ, Routtenberg A",7119174,,,10.1002/cne.902090107,,,69,78,Topography between the entorhinal cortex and the dentate septotemporal axis in rats: I. Medial and intermediate entorhinal projecting cells.,1982 Jul 20,J Comp Neurol,209,1,,0
"Desmond NL, Levy WB",7187915,,,10.1002/cne.902120204,,,131,145,A quantitative anatomical study of the granule cell dendritic fields of the rat dentate gyrus using a novel probabilistic method.,1982 Dec 1,J Comp Neurol,212,2,1000: DG:GC: Dentate gyrus granule cell,1
"Amaral DG, Dent JA",7204652,,,10.1002/cne.901950106,,,51,86,Development of the mossy fibers of the dentate gyrus: I. A light and electron microscopic study of the mossy fibers and their expansions.,1981 Jan 1,J Comp Neurol,195,1,,0
"Schwartz SP, Coleman PD",7286122,,,10.1016/0014-4886(81)90169-2,,,305,312,Neurons of origin of the perforant path.,1981 Oct,Exp Neurol,74,1,"6082: EC:excitatory: EC layer II stellates, EC layer II stellate cells, EC layer II pyramidal cells ### 6003: EC:SC_II: MEC layer II stellate cells",1
"Seress L, Pokorny J",7333948,,,,,,181,195,Structure of the granular layer of the rat dentate gyrus. A light microscopic and Golgi study.,1981 Sep,J Anat,133,Pt 2,,0
"Anderson HR, Bailey P, West S",7427632,,,10.1136/bmj.281.6249.1191,,,1191,1194,Trends in the hospital care of acute childhood asthma 1970-8: a regional study.,1980 Nov 1,Br Med J,281,6249,,0
Scharfman HE,7472322,,,10.1152/jn.1995.74.1.179,,,179,94,Electrophysiological evidence that dentate hilar mossy cells are excitatory and innervate both granule cells and interneurons. ,1995 Jul,J Neurophysiol,74,1,,
"Sik A, Penttonen M, Ylinen A, Buzsaki G",7472426,,,,,,6651,6665,Hippocampal CA1 interneurons: an in vivo intracellular labeling study.,1995 Oct,J Neurosci,15,10,4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar interneuron,1
"Cobb SR, Buhl EH, Halasy K, Paulsen O, Somogyi P",7477292,,,,,,75,78,Synchronization of neuronal activity in hippocampus by individual GABAergic interneurons.,1995 Nov 2,Nature,378,6552,,
"Empson RM, Gloveli T, Schmitz D, Heinemann U",7478170,,,10.1016/0304-3940(95)11684-O,,,149,152,Electrophysiology and morphology of a new type of cell within layer II of the rat lateral entorhinal cortex in vitro.,1995 Jul 7,Neurosci Lett,193,3,,1
"Bannister NJ, Larkman AU",7499560,,,10.1002/cne.903600111,,,150,160,Dendritic morphology of CA1 pyramidal neurones from the rat hippocampus: I. Branching patterns.,1995 Sep 11,J Comp Neurol,360,1,,0
"Dun NJ, Dun SL, Wong RK, Forstermann U",7512719,,,,,,2955,2959,Colocalization of nitric oxide synthase and somatostatin immunoreactivity in rat dentate hilar neurons.,1994 Apr 12,Proc Natl Acad Sci U S A,91,8,,
"McBain CJ, DiChiara TJ, Kauer JA",7517996,,,,,,4433,4445,Activation of metabotropic glutamate receptors differentially affects two classes of hippocampal interneurons and potentiates excitatory synaptic transmission.,1994 Jul,J Neurosci,14,7,4069: CA1:O-LM: CA1 stratum oriens interneurones of the second type ### 4024: CA1:SR_O-LM: CA1 stratum oriens interneurones of the second type,1
