"source_id","target_id","subregion","parcel","CP_mean","CP_std"
3000,3006,"CA2","SR",0.015768454864897,0
3003,3006,"CA2","SO",0.027703819603054,0.011656975385166
4003,4003,"CA1","SO",0.001256501828374,0
4003,4005,"CA1","SLM",0.000802526530198,0
4003,4076,"CA1","SP",0.000460029417887,0.00089573997755
4005,4079,"CA1","SLM",0.001394393476371,0.000531878694996
4005,4091,"CA1","SR",0.001724348854228,0.001066660773589
4015,4041,"CA1","SO",0.000570903810484,0.001371137774679
4054,4093,"CA1","SO",0.000465292618177,0.002749718089981
4061,4078,"CA1","SLM",0.003269927848078,0.003055858157445
4066,4003,"CA1","SLM",0.0013549759309,0.001268866438332
4066,4020,"CA1","SLM",0.001040171331698,0.001105343554748
4080,4083,"CA1","SO",0.001601135900111,0.003579766515679
4081,4005,"CA1","SR",0.00061724671354,0.001192885666905
4094,4015,"CA1","SLM",0.000319906456288,0.00077153521199
6003,6002,"MEC","II",0.010434145615508,0.05440910517154
6003,6082,"MEC","I",0.001533964457903,0.00436442971364
6006,6019,"MEC","II",0.003241089567747,0
6040,6092,"MEC","III",0.005517527787506,0.016033194239852
1043,1004,"DG","H",0.008186048039673,0
2000,2009,"CA3","SO",0.005504235313437,0
2013,2035,"CA3","SP",0.002856117181922,0.002507189284749
2013,2043,"CA3","SO",0.001579319532183,0.000708394610681
2013,2046,"CA3","SL",0.001475940436823,0.001179299169962
2035,2004,"CA3","SL",0.011384175599391,0
2036,2036,"CA3","SP",0.001960215533626,0.005717466140672
2045,2045,"CA3","SL",0.00294826494423,0
3003,3007,"CA2","SR",0.0260810684509,0.046483586693355
4005,4078,"CA1","SLM",0.001021249710744,0.001048180592955
4011,4012,"CA1","SLM",0.001549092664132,0.001427958379481
4023,4013,"CA1","SR",0.00237626351941,0
4054,4080,"CA1","SO",0.000557508443863,0.002654222930386
4069,4054,"CA1","SLM",0.002010704869093,0.006194328701612
4087,4015,"CA1","SR",0.001867885164969,0.004326052592755
4089,4033,"CA1","SO",0.003794715849686,0.009320357364962
4093,4066,"CA1","SO",0.001467489615596,0.004145222944864
4093,4093,"CA1","SO",0.001022697203755,0.00362795265136
6005,6019,"EC","I",0.000971420054512,0.001635398027573
6005,6095,"EC","II",0.0005908686566,0.001139600235685
6005,6095,"EC","III",0.000929575587729,0.001915913337574
6008,6021,"MEC","II",0.000895232112255,0.002138355086322
6008,6082,"MEC","III",0.001359951450714,0.001594444411395
6017,6040,"EC","III",0.000937106466776,0.002184281884251
6023,6017,"MEC","III",0.00084210979364,0.00126078309783
6040,6040,"MEC","III",0.018133440226295,0.053440931992794
6082,6082,"EC","I",0.002883596148118,0.015604025423053
6086,6095,"EC","V",0.002066137303831,0.002971916988673
1007,1007,"DG","SMo",8.44701237543212E-05,0
2004,2021,"CA3","SO",0.002350664412392,0.003148486363379
2013,2043,"CA3","SP",0.001696228473572,0.002581604656484
2014,2001,"CA3","SR",0.000900965211829,0.000945752784616
2014,2004,"CA3","SR",0.002524318972875,0.001921736955861
2014,2013,"CA3","SL",0.001812366071279,0.002610583149091
2020,2036,"CA3","SP",0.001435644442807,0.00302860336575
2036,2035,"CA3","SL",0.002581839422724,0.008220108049841
4000,4068,"CA1","SO",0.001990526544735,0.002546554116489
4004,4000,"CA1","SLM",0.002253543595529,0.002009196824587
4020,4093,"CA1","SO",0.000235668574708,0.000563273669517
4023,4079,"CA1","SP",0.004291738439919,0.001898432677107
4031,4041,"CA1","SR",0.000902784017716,0.000312366922697
4061,4076,"CA1","SR",0.010196915552651,0.015785921837064
4087,4078,"CA1","SLM",0.00077840874725,0.002662809524418
4089,4036,"CA1","SLM",0.006733354383184,0.025926117354168
4093,4083,"CA1","SO",0.001082563517129,0.003307637664184
6005,6023,"EC","I",0.000587559248387,0.001274603413234
6007,6085,"LEC","V",0.002289006176101,0
6025,6085,"LEC","I",0.000682544166071,0.000901350601556
6038,6024,"MEC","II",0.002104893872017,0
1041,1035,"DG","H",0.00121950957661,0.000579543349004
1043,1001,"DG","SMi",0.000253848361408,0.000405434666703
2020,2043,"CA3","SO",0.002036274194116,0.001269123307116
2045,2045,"CA3","SR",0.002107536436305,0
4003,4021,"CA1","SLM",0.000592526320101,1.29311827858027E-05
4023,4003,"CA1","SO",0.003362613904647,0
4023,4078,"CA1","SP",0.003715528697078,0.001563179837733
4028,4061,"CA1","SR",0.004073960054052,0.000770482787731
4041,4089,"CA1","SO",0.007948387340032,0.010375310044608
4069,4006,"CA1","SLM",0.002103824466611,0.005087074875503
4069,4012,"CA1","SLM",0.002001084769259,0.005706841278967
4069,4076,"CA1","SLM",0.002565190841097,0.006613453677399
