Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Name of file containing figure,Figure/Table,Quote reference id,Representative?,NMO_ID,Interpretation notes figures,New?,Notes,copied to portal folder,Ordering
"Deller T, Martinez A, Nitsch R, Frotscher M",A novel entorhinal projection to the rat dentate gyrus: direct innervation of proximal dendrites and cell bodies of granule cells and GABAergic neurons,Journal of Neuroscience,1996,8627369,6002,Deller-Frotscher-1996-3322-JNeurosci-Fig5-Cell6002.jpeg,figure,630602,,,,,,,721
Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,4069,Somogyi--2010-148-HandbookOfBrainMicrocircuits-Tab1-CA1_1002_O-LM.jpeg,table,630603,,,,,,,531
"Deller T, Martinez A, Nitsch R, Frotscher M",A novel entorhinal projection to the rat dentate gyrus: direct innervation of proximal dendrites and cell bodies of granule cells and GABAergic neurons,Journal of Neuroscience,1996,8627369,6002,Deller-Frotscher-1996-3322-JNeurosci-Fig6-Cell6002.jpeg,figure,630606,,,,,,,722
Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,4015,Somogyi--2010-148-HandbookOfBrainMicrocircuits-Tab1-CA1_2311_SC.jpeg,table,630607,,,,,,,535
Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,4012,Somogyi--2010-148-HandbookOfBrainMicrocircuits-Tab1-CA1_3000_NGF.jpeg,table,630609,,,,,,,536
"Deller T, Martinez A, Nitsch R, Frotscher M",A novel entorhinal projection to the rat dentate gyrus: direct innervation of proximal dendrites and cell bodies of granule cells and GABAergic neurons,Journal of Neuroscience,1996,8627369,6002,Deller-Frotscher-1996-3322-JNeurosci-Fig9-Cell6002.jpeg,figure,630612,,,,,,,723
"Cossart R, Petanjek Z, Dumitriu D, Hirsch JC, Ben-Ari Y, Esclapez M, Bernard C",Interneurons targeting similar layers receive synaptic inputs with similar kinetics,Hippocampus,2006,16435315,4100,Cossart-Bernard-2006-408-v16-Hippocampus-Fig1a_160T3-Cell4100.jpeg,figure,630616,,NMO_02338,,,,,724
"Nissen W, Szabo A, Somogyi J, Somogyi P, Lamsa KP",Cell type-specific long-term plasticity at glutamatergic synapses onto hippocampal interneurons expressing either parvalbumin or CB1 cannabinoid receptor,Journal of Neuroscience,2010,20107060,4100,Nissen-Lamsa-2010-1337-J Neurosci-Fig2D-Cell4100.jpeg,figure,630620,1,,,,,,725
"Nissen W, Szabo A, Somogyi J, Somogyi P, Lamsa KP",Cell type-specific long-term plasticity at glutamatergic synapses onto hippocampal interneurons expressing either parvalbumin or CB1 cannabinoid receptor,Journal of Neuroscience,2010,20107060,4100,Nissen-Lamsa-2010-1337-J Neurosci-Fig2E-Cell4100.jpeg,figure,630622,,,,,,,726
"Cossart R, Petanjek Z, Dumitriu D, Hirsch JC, Ben-Ari Y, Esclapez M, Bernard C",Interneurons targeting similar layers receive synaptic inputs with similar kinetics,Hippocampus,2006,16435315,4101,Cossart-Bernard-2006-408-v16-Hippocampus-Fig1a_119T4-Cell4101.jpeg,figure,630624,,NMO_02327,,,,,727
