Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Name of file containing figure,Figure/Table,Quote reference id,Representative?,NMO_ID,Interpretation notes figures,New?,Notes,copied to portal folder,Ordering
"Halasy K, Somogyi P",Subdivisions in the multiple GABAergic innervation of granule cells in the dentate gyrus of the rat hippocampus,The European journal of neuroscience,1993,8261118,1010,Halasy-Somogyi-1993-411-EuroJNeuro-Fig10A.jpeg,figure,612301,,,,,,,290
"Quilichini P, Sirota A, Buzsaki G",Intrinsic Circuit Organization and Theta-Gamma Oscillation Dynamics in the Entorhinal Cortex of the Rat,Journal of Neuroscience,2010,20720120,6095,Quilichini-Buzsaki-2010-11128-JNeurosci-Figaddedrawdata.jpeg,figure,612302,,,,,,,490
"Kunkel DD, LaCaille J-C, Schwartzkroin PA",Ultrastructure of Stratum  Lacunosum-Moleculare Interneurons of Hippocampal CAl Region,Synapse,1988,3187908,4005,Kunkel-Schwartzkroin-1988-382-Synapse-Fig1.jpeg,figure,612309,,,,,,,373
"Kunkel DD, LaCaille J-C, Schwartzkroin PA",Ultrastructure of Stratum  Lacunosum-Moleculare Interneurons of Hippocampal CAl Region,Synapse,1988,3187908,4005,Kunkel-Schwartzkroin-1988-382-Synapse-Fig4.jpeg,figure,612310,,,,,,,375
"Williams S, Samulack DD, Beaulieu C, LaCaille J-C",Membrane Properties and Synaptic Responses of Intemeurons Located Near the Stratum Lacunosum-Moleculare/Radiatum   Border of Area CA1 in Whole-Cell  Recordings From  Rat  Hippocampal  Slices,Journal of Neurophysiology,1994,7931512,4005,Williams-Lacaille-1994-2217-JNeurophysio-Fig1.jpeg,figure,612315,,,,,,,667
"Price CJ, Scott R, Rusakov DA, Capogna M",GABA B Receptor Modulation of Feedforward Inhibition through Hippocampal Neurogliaform Cells,Journal of Neuroscience,2008,18596171,4012,Price-Capogna-2008-6974-JNeurosci-Fig1A-CA1_3000_NGF.jpeg,figure,612319,,,,,,,487
"Karayannis T, Elfant D, Huerta-Ocampo I, Teki S, Scott RS, Rusakov DA, Jones MV, Capogna M",Slow GABA Transient and Receptor Desensitization Shape Synaptic Responses Evoked by Hippocampal Neurogliaform Cells,Journal of Neuroscience,2010,20660272,4012,Karayannis-Capogna-2010-9898-JNeurosci-Fig1C.jpeg,figure,612323,,,,,,,328
"Miles R, T‹th K, Guly_s AI, H_jos N, Freund TF",Differences between somatic and dendritic inhibition in the hippocampus Neuron ,Neuron,1996,8607999,2045,Miles-Freund-1996-815-Neuron-Fig2B-CA3-03333-Bistratified.jpeg,figure,612325,,,,,,,441
"Kawaguchi Y, Hama K",Physiological heterogeneity of nonpyramidal cells in rat hippocampal CA1 region,Exp Brain Res,1988,3234499,4028,Kawaguchi-Hama-1988-494-ExpBrainRes-Fig4.jpeg,figure,612330,1,,,,,,331
"Tamamaki N, Abe K, Nojyo Y",Columnar organization in the subiculum formed by axon branches originating from single CA1 pyramidal neurons in the rat hippocampus,Brain Research,1987,3607449,4099,Tamamaki-Nojyo-1987-156-BrainRes-Fig3.jpeg,figure,612335,,not yet in database,,,,,606
"Tamamaki N, Nojyo Y",Projection of the entorhinal layer II neurons in the rat as revealed by intracellular pressure-injection of neurobiotin,Hippocampus,1993,8269038,6003,Tamamaki-Nojyo-1993-471-Hippocampus-Fig2.jpeg,figure,612345,1,,,,,,618
"Tamamaki N, Nojyo Y",Projection of the entorhinal layer II neurons in the rat as revealed by intracellular pressure-injection of neurobiotin,Hippocampus,1993,8269038,6003,Tamamaki-Nojyo-1993-471-Hippocampus-Fig3.jpeg,figure,612346,,,,,,,619
"Tamamaki N, Nojyo Y",Projection of the entorhinal layer II neurons in the rat as revealed by intracellular pressure-injection of neurobiotin,Hippocampus,1993,8269038,6003,Tamamaki-Nojyo-1993-471-Hippocampus-Fig4.jpeg,figure,612347,,,,,,,620
"Tamamaki N, Nojyo Y",Projection of the entorhinal layer II neurons in the rat as revealed by intracellular pressure-injection of neurobiotin,Hippocampus,1993,8269038,6003,Tamamaki-Nojyo-1993-471-Hippocampus-Fig5.jpeg,figure,612351,,,,,,,621
"Steward, O, Scoville, SA",Cells of origin of entorhinal cortical afferents to the hippocampus and fascia dentata of the rat,The Journal of Comparative Neurology,1976,972204,6092,Steward-Scoville-1976-347-JCompNeurol-Fig7-EC_223200p_PC_III.jpeg,figure,612357,,,,,,,582
"Steward, O, Scoville, SA",Cells of origin of entorhinal cortical afferents to the hippocampus and fascia dentata of the rat,The Journal of Comparative Neurology,1976,972204,6092,Steward-Scoville-1976-347-JCompNeurol-Fig13-EC_223200p_PC_III.jpeg,figure,612358,,,,,,,580
"Steward, O.",Topographic organization of the projections from the entorhinal area to the hippocampal formation of the rat.,The Journal of Comparative Neurology,1976,1270625,6092,Steward--1976-285-JCompNeurol-Fig17-EC_223200p_PC_III.jpeg,figure,612362,,,,,,,578
"Gloveli T, Schmitz D, Empson RM, Dugladze T, Heinemann U",Morphological and electrophysiological characterization of layer III cells of the medial entorhinal cortex of the rat,Neuroscience,1997,9070741,6092,Gloveli-Heinemann-1997-629-Neurosci-Fig1-EC_(+)223200p_CA1_1000_SUB_100_PC_III.jpeg,figure,612365,,,,,,,246
"Gloveli T, Schmitz D, Empson RM, Dugladze T, Heinemann U",Morphological and electrophysiological characterization of layer III cells of the medial entorhinal cortex of the rat,Neuroscience,1997,9070741,6087,Gloveli-Heinemann-1997-629-Neurosci-Fig2-EC_(-)023300_PL_BPN_III.jpeg,figure,612367,,,,,,,247
"Sik A, Penttonen M, Buzs_ki G",Interneurons in the hippocampal dentate gyrus: an in vivo intracellular study,European Journal of Neuroscience,1997,9104599,1035,Sik-Buzsaki-1997-573-EurJNeuro-Fig4.jpeg,figure,612376,,,,,,,511
"Sik A, Penttonen M, Buzs_ki G",Interneurons in the hippocampal dentate gyrus: an in vivo intracellular study,European Journal of Neuroscience,1997,9104599,1035,Sik-Buzsaki-1997-573-EurJNeuro-Fig5.jpeg,figure,612377,,,,,,,512
"Khazipov R, Congar P, Ben-Ari Y",Hippocampal CA1 Lacunosum-Moleculare Inter-neurons: Modulation of Monosynaptic GABAergic IPSCs by Presynaptic GABA(B) Receptors,Journal of Neurophysiology,1995,8592201,4005,Khazipov-BenAri-1995-2126-JNeurophysiol-Fig1B.jpeg,figure,612382,,,,,,,332
"Lacaille J-C, Schwartzkroin PA","Stratum Lacunosum-Moleculare Interneurons of Hippocampal CA1 Region. Intracellular Response Characteristics, Synaptic Responses, and Morphology",Journal of Neuroscience,1988,3357023,4005,Lacaille-Schwartzkroin-1988-1411-JNeurosci-Fig3.jpeg,figure,612389,,,,,,,378
"Soriano E,  Frotscher M","GABAergic innervation  of  thc  rat  fas- 
cia dentata: A novel type of inrerneuron  in the granule cell layer with 
extensive axonal arhorization in the molecular layer.",J  Comp Neurol,1993,8376624,1005,Soriano-Frotscher-1993-385-JCompNeurol-Fig1.jpeg,figure,612394,,,,,,,560
"Soriano E,  Frotscher M","GABAergic innervation  of  thc  rat  fas- 
cia dentata: A novel type of inrerneuron  in the granule cell layer with 
extensive axonal arhorization in the molecular layer.",J  Comp Neurol,1993,8376624,1005,Soriano-Frotscher-1993-385-JCompNeurol-Fig2.jpeg,figure,612395,,,,,,,561
"van Haeften T, Baks-te-Bulte L, Goede PH, Wouterlood FG, Witter PM",Morphological and Numerical Analysis of Synaptic Interactions Between Neurons in Deep and Super?cial Layers of the Entorhinal Cortex of the Rat,Hippocampus,2003,14750656,6002,vanHaeften-Witter-2003-943-Hippocampus-Fig1.jpeg,figure,612400,,,,,,,639
"Tamamaki N, Abe K, Nojyo Y",Three-dimensional analysis of the whole axonal arbors originating from single CA2 pyramidal neurons in the rat hippocampus with the aid of a computer graphic technique,Brain Research,1988,3401733,3000,Tamamaki-Nojyo-1988-255-BrainRes-Fig2B.jpeg,figure,612403,,,,,,,607
"Tamamaki N, Abe K, Nojyo Y",Three-dimensional analysis of the whole axonal arbors originating from single CA2 pyramidal neurons in the rat hippocampus with the aid of a computer graphic technique,Brain Research,1988,3401733,3000,Tamamaki-Nojyo-1988-255-BrainRes-Fig4.jpeg,figure,612406,,,,,,,615
"Tamamaki N, Abe K, Nojyo Y",Three-dimensional analysis of the whole axonal arbors originating from single CA2 pyramidal neurons in the rat hippocampus with the aid of a computer graphic technique,Brain Research,1988,3401733,3000,Tamamaki-Nojyo-1988-255-BrainRes-Fig6A1.jpeg,figure,612407,,,,,,,616
"Struble, R.G., Desmond, N.L. and Levy, W.B. ",Anatomical  evidence  for  interlamellar  inhibition  in  the  fascia dentata.,Brain Res.,1978,687975,1035,Struble-Levy-1978-580-BrainRes-Fig1.jpeg,figure,612411,,,,,,,583
"Struble, R.G., Desmond, N.L. and Levy, W.B. ",Anatomical  evidence  for  interlamellar  inhibition  in  the  fascia dentata.,Brain Res.,1978,687975,1035,Struble-Levy-1978-580-BrainRes-Fig2.jpeg,figure,612412,,,,,,,584
"H_jos N, Acs_dy L, Freund TF",Target selectivity and neurochemical characteristics of VIP immunoreactive interneurons in the rat dentate gyrus.,European Journal of Neuroscience,1996,8758949,1036,Hajos-Freund-1996-1415-EurJNeurosci-Fig1D.jpeg,figure,612419,,,,,,,275
"H_jos N, Acs_dy L, Freund TF",Target selectivity and neurochemical characteristics of VIP immunoreactive interneurons in the rat dentate gyrus.,European Journal of Neuroscience,1996,8758949,2042,Hajos-Freund-1996-1415-EurJNeurosci-Fig3-CA3_-03333_DG_0003_IS-3.jpeg,figure,612420,1,,,,,,276
"H_jos N, Acs_dy L, Freund TF",Target selectivity and neurochemical characteristics of VIP immunoreactive interneurons in the rat dentate gyrus.,European Journal of Neuroscience,1996,8758949,1036,Hajos-Freund-1996-1415-EurJNeurosci-Fig4A.jpeg,figure,612421,1,,,,,,277
"H_jos N, Acs_dy L, Freund TF",Target selectivity and neurochemical characteristics of VIP immunoreactive interneurons in the rat dentate gyrus.,European Journal of Neuroscience,1996,8758949,1008,Hajos-Freund-1996-1415-EurJNeurosci-Fig5-DG_(-)_3000_MOPP_NGF.jpeg,figure,612422,,,,,,,279
"Kawaguchi Y, Katsumaru H, Kosaka T, Heizmann CW, Hama K",Fast spiking cells in rat hippocampus (CA1 region) contain the calcium-binding protein parvalbumin,Brain Research,1987,3304536,4104,Kawaguchi-Hama-1987-369-BrainRes-Fig2.jpeg,figure,612434,,not yet in database,,,,,330
"Maccaferri,  G.  &  McBain,  C.J.",Long-term potentiation in distinct subtypes of hippocampal nonpyramidal neurons. ,Journal of Neuroscience,1996,8757246,4054,Maccaferri-McBain-1996-5334-JNeurosci-Fig5.jpeg,figure,612438,,,,,,,421
"Losonczy A, Bir‹ AA, Nusser Z",Persistently active cannabinoid receptors mute a subpopulation of hippocampal interneurons,Proceedings of the National Academy of Sciences USA,2004,14734812,2036,Losonczy-Nusser-2004-1362-PNAS-Fig3.jpeg,figure,612441,,,,,,,412
"Wouterlood FG, van Denderen JC, van Haeften T, Witter MP.","Calretinin in the Entorhinal Cortex of

the Rat: Distribution, Morphology,

Ultrastructure of Neurons, and Co-

localization With g-Aminobutyric Acid

and Parvalbumin",Journal of Comparative Neurology,2000,10954838,6087,Wouterlood-Witter-2000-177-JCompNeurol-Tab1.jpeg,table,612446,,,,,,,675
"Hajos N, Mody I",Synaptic communication among hippocampal interneurons: properties of spontaneous IPSCs in morphologically identified cells,The Journal of Neuroscience,1997,9334415,4069,Hajos-Mody-1997-8427-JNeurosci-Fig1BC.jpeg,figure,612459,,,,,,,284
"Hajos N, Mody I",Synaptic communication among hippocampal interneurons: properties of spontaneous IPSCs in morphologically identified cells,The Journal of Neuroscience,1997,9334415,4076,Hajos-Mody-1997-8427-JNeurosci-Fig4AB.jpeg,figure,612466,,,,1,,,285
"Hajos N, Mody I",Synaptic communication among hippocampal interneurons: properties of spontaneous IPSCs in morphologically identified cells,The Journal of Neuroscience,1997,9334415,4004,Hajos-Mody-1997-8427-JNeurosci-Fig5A-CA1_3300p_PPA_proj.jpeg,figure,612467,,,,1,,,287
"Hajos N, Mody I",Synaptic communication among hippocampal interneurons: properties of spontaneous IPSCs in morphologically identified cells,The Journal of Neuroscience,1997,9334415,4013,Hajos-Mody-1997-8427-JNeurosci-Fig5A-CA1_2333_RPO.jpeg,figure,612468,,,,1,,,286
"Hajos N, Mody I",Synaptic communication among hippocampal interneurons: properties of spontaneous IPSCs in morphologically identified cells,The Journal of Neuroscience,1997,9334415,4076,Hajos-Mody-1997-8427-JNeurosci-Fig5B-CA1_3222_PPA.jpeg,figure,612469,,,,1,,,288
"Hajos N, Mody I",Synaptic communication among hippocampal interneurons: properties of spontaneous IPSCs in morphologically identified cells,The Journal of Neuroscience,1997,9334415,4080,Hajos-Mody-1997-8427-JNeurosci-Fig6A.jpeg,figure,612470,,,,1,,,289
"Hosseini-Sharifabad M, Nyengaard JR",Design-based estimation of neuronal number and individual neuronal volume in the rat hippocampus,Journal of Neuroscience Methods,2007,17368561,1000,HosseiniSharifabad-Nyengaard-2007-206-JNeurosciMethods-Tab5.jpeg,table,612471,,,,,,,312
"Lªbke J, Frotscher M, Spruslon N ",Specialized electrophysiological  properties of anatomically  identified  neurons  in  the  hilar  region  of  the  rat  fascia  dentata.,J  Neurophysiol  ,1998,9497429,1000,Lubke-Spruston-1998-1518-JNeurophys-Fig1A.jpeg,figure,612475,1,,,,,,413
"Lªbke J, Frotscher M, Spruslon N ",Specialized electrophysiological  properties of anatomically  identified  neurons  in  the  hilar  region  of  the  rat  fascia  dentata.,J  Neurophysiol  ,1998,9497429,1002,Lubke-Spruston-1998-1518-JNeurophys-Fig4.jpeg,figure,612479,,,,,,,414
"Lªbke J, Frotscher M, Spruslon N ",Specialized electrophysiological  properties of anatomically  identified  neurons  in  the  hilar  region  of  the  rat  fascia  dentata.,J  Neurophysiol  ,1998,9497429,1026,Lubke-Spruston-1998-1518-JNeurophys-Fig6A.jpeg,figure,612484,1,,,,,,416
"Lªbke J, Frotscher M, Spruslon N ",Specialized electrophysiological  properties of anatomically  identified  neurons  in  the  hilar  region  of  the  rat  fascia  dentata.,J  Neurophysiol  ,1998,9497429,1027,Lubke-Spruston-1998-1518-JNeurophys-Fig7.jpeg,figure,612485,,,,,,,417
"Lªbke J, Frotscher M, Spruslon N ",Specialized electrophysiological  properties of anatomically  identified  neurons  in  the  hilar  region  of  the  rat  fascia  dentata.,J  Neurophysiol  ,1998,9497429,1026,Lubke-Spruston-1998-1518-JNeurophys-Fig8B.jpeg,figure,612486,,,,,,,419
"Lªbke J, Frotscher M, Spruslon N ",Specialized electrophysiological  properties of anatomically  identified  neurons  in  the  hilar  region  of  the  rat  fascia  dentata.,J  Neurophysiol  ,1998,9497429,1027,Lubke-Spruston-1998-1518-JNeurophys-Fig9A.jpeg,figure,612487,,,,,,,420
"Lªbke J, Frotscher M, Spruslon N ",Specialized electrophysiological  properties of anatomically  identified  neurons  in  the  hilar  region  of  the  rat  fascia  dentata.,J  Neurophysiol  ,1998,9497429,1002,Lubke-Spruston-1998-1518-JNeurophys-Fig5A.jpeg,figure,612488,,,,,,,415
"Gloveli T, Kopell N, Dugladze T",Neuronal Activity Patterns During Hippocampal Network Oscillations In Vitro,Hippocampal Microcircuits,2010,978-1-4419-0995-4,2009,Gloveli-Dugladze-2010-247-HippocampalMicrocircuits-Fig2A-CA3_O-LM.jpeg,figure,612490,,,,,,,240
"Gloveli T, Kopell N, Dugladze T",Neuronal Activity Patterns During Hippocampal Network Oscillations In Vitro,Hippocampal Microcircuits,2010,978-1-4419-0995-4,2020,Gloveli-Dugladze-2010-247-HippocampalMicrocircuits-Fig3Ci.jpeg,figure,612493,1,,,,,,244
"Gloveli T, Kopell N, Dugladze T",Neuronal Activity Patterns During Hippocampal Network Oscillations In Vitro,Hippocampal Microcircuits,2010,978-1-4419-0995-4,2009,Gloveli-Dugladze-2010-247-HippocampalMicrocircuits-Fig4A.jpeg,figure,612496,,,,,,,245
Houser CR,"Interneurons of the dentate gyrus: an overview of cell types, terminal fields and neurochemical identity",Progress in Brain Research,2007,17765721,1008,Houser--2007-217-ProgBrainRes-Fig3.jpeg,figure,612531,,,,,,,313
"Jinno, S., Klausberger, T.,  Marton, L.F., Dalezios, Y.,  Roberts,  J.D.B.,Fuentealba,  P.,  Bushong,  E.A.,  Henze,  D.,  BuzsaÇ_‰ki,  G.  &  Somogyi,  P.",Neuronal diversity in GABAergic long-range projections from the hippocampus.,Journal of Neuroscience,2007,17699661,4035,Jinno-Somogyi-2007-8790-JNeurosci-Tab1.jpeg,table,612540,,,,,,,323
"Jinno, S., Klausberger, T.,  Marton, L.F., Dalezios, Y.,  Roberts,  J.D.B.,Fuentealba,  P.,  Bushong,  E.A.,  Henze,  D.,  BuzsaÇ_‰ki,  G.  &  Somogyi,  P.",Neuronal diversity in GABAergic long-range projections from the hippocampus.,Journal of Neuroscience,2007,17699661,4035,Jinno-Somogyi-2007-8790-JNeurosci-Fig1.jpeg,figure,612541,,,,,,,321
"Jinno, S., Klausberger, T.,  Marton, L.F., Dalezios, Y.,  Roberts,  J.D.B.,Fuentealba,  P.,  Bushong,  E.A.,  Henze,  D.,  BuzsaÇ_‰ki,  G.  &  Somogyi,  P.",Neuronal diversity in GABAergic long-range projections from the hippocampus.,Journal of Neuroscience,2007,17699661,4035,Jinno-Somogyi-2007-8790-JNeurosci-Fig4A.jpeg,figure,612543,,,,,,,322
"Jinno, S., Klausberger, T.,  Marton, L.F., Dalezios, Y.,  Roberts,  J.D.B.,Fuentealba,  P.,  Bushong,  E.A.,  Henze,  D.,  BuzsaÇ_‰ki,  G.  &  Somogyi,  P.",Neuronal diversity in GABAergic long-range projections from the hippocampus.,Journal of Neuroscience,2007,17699661,4035,Jinno-Somogyi-2007-8790-JNeurosci-Tab2.jpeg,table,612544,,,,,,,324
"Jinno, S., Klausberger, T.,  Marton, L.F., Dalezios, Y.,  Roberts,  J.D.B.,Fuentealba,  P.,  Bushong,  E.A.,  Henze,  D.,  BuzsaÇ_‰ki,  G.  &  Somogyi,  P.",Neuronal diversity in GABAergic long-range projections from the hippocampus.,Journal of Neuroscience,2007,17699661,4035,Jinno-Somogyi-2007-8790-JNeurosci-Tab3.jpeg,table,612545,,,,,,,325
"Katona I, Acs_dy L, Freund TF",Postsynaptic targets of somatostatin-immunoreactive interneurons in the rat hippocampus,Neuroscience,1999,10051188,4068,Katona-Freund-1999-37-Neurosci-Fig2-CA1_(-)1113p-SUB_111_wide_oriens-bistratified.jpeg,figure,612548,,,,,,,329
"Mercer A, Eastlake K, Trigg HL, Thomson AM",Local circuitry involving parvalbumin-positive basket cells in the CA2 region of the hippocampus,Hippocampus._,2012,20882544,3006,Mercer-Thomson-2012-43-Hippocampus-Fig1A1.jpeg,figure,612558,,,,,,,436
"Mercer A, Eastlake K, Trigg HL, Thomson AM",Local circuitry involving parvalbumin-positive basket cells in the CA2 region of the hippocampus,Hippocampus._,2012,20882544,3006,Mercer-Thomson-2012-43-Hippocampus-Fig4A1.jpeg,figure,612559,,,,,,,438
"Mercer A, Eastlake K, Trigg HL, Thomson AM",Local circuitry involving parvalbumin-positive basket cells in the CA2 region of the hippocampus,Hippocampus._,2012,20882544,3007,Mercer-Thomson-2012-43-Hippocampus-Fig5A1.jpeg,figure,612560,1,,,,,,439
"Naber, P.A.,  Lopes  da  Silva,  F.H.  and  Witter,  M.P.  ",Reciprocal  connections between the entorhinal cortex and hippocampal fields CA1 and the subiculum are in register with the projections from CA1 to the subiculum.,"Hippocampus, 11(2): 99Ç__104.",2001,11345131,4098,Naber-Witter-2001-99-Hippocampus-Fig2C.jpeg,figure,612564,,not yet in database,,,,,446
"Naber, P.A.,  Lopes  da  Silva,  F.H.  and  Witter,  M.P.  ",Reciprocal  connections between the entorhinal cortex and hippocampal fields CA1 and the subiculum are in register with the projections from CA1 to the subiculum.,"Hippocampus, 11(2): 99Ç__104.",2001,11345131,4098,Naber-Witter-2001-99-Hippocampus-Fig3.jpeg,figure,612565,,,,,,,447
"Oliva AA Jr, Jiang M, Lam T, Smith KL, Swann JW",Novel hippocampal interneuronal subtypes identified using transgenic mice that express green fluorescent protein in GABAergic interneurons,Journal of Neuroscience,2000,10777798,4066,Oliva-Swann-2000-3354-JNeurosci-Fig4BC.jpeg,figure,612567,1,,,,,,448
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1000,Amaral-Lavenex-2007-3-ProgBrainRes-Fig4.jpeg,figure,612595,,,,,,,46
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1000,Amaral-Lavenex-2007-3-ProgBrainRes-Fig5.jpeg,figure,612597,,,,,,,47
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1035,Amaral-Lavenex-2007-3-ProgBrainRes-Fig6-DG_2232_basket.jpeg,figure,612598,,,,1,,,48
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1035,Amaral-Lavenex-2007-3-ProgBrainRes-Fig7.jpeg,figure,612599,,,,,,,49
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1002,Amaral-Lavenex-2007-3-ProgBrainRes-Fig8-DG_0103_mossy.jpeg,figure,612600,,,,1,,,50
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1002,Amaral-Lavenex-2007-3-ProgBrainRes-Fig9.jpeg,figure,612601,,,,,,,51
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1013,Amaral-Lavenex-2007-3-ProgBrainRes-Fig10.jpeg,figure,612602,,,,,,,45
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1000,Amaral-Lavenex-2007-3-ProgBrainRes-Plate1.4.jpeg,figure,612603,,,,,,,52
"Tort AB, Rotstein HG, Dugladze T, Gloveli T, Kopell NJ.","On the formation of gamma-coherent cell assemblies

by oriens lacunosum-moleculare interneurons in

the hippocampus",Proc Natl Acad Sci U S A,2007,17679692,2009,Tort-Kopell-2007-13490-PNAS-Fig1.jpeg,figure,612608,1,,,,,,624
"Tricoire L, Pelkey KA, Erkkila BE, Jeffries BW, Yuan X, McBain CJ",A blueprint for the spatiotemporal origins of mouse hippocampal interneuron diversity,J Neurosci,2011,21795545,4061,Tricoire-McBain-2011-10948-JNeurosci-Fig7I.jpeg,figure,612614,,,,,,,635
"Tricoire L, Pelkey KA, Erkkila BE, Jeffries BW, Yuan X, McBain CJ",A blueprint for the spatiotemporal origins of mouse hippocampal interneuron diversity,J Neurosci,2011,21795545,4061,Tricoire-McBain-2011-10948-JNeurosci-Fig8D.jpeg,figure,612615,,,,,,,636
"Buckmaster PS, Dudek FE. ",In vivo intracellular analysis of granule cell axon reorganization in epileptic rats,Journal of Neurophysiology,1999,10036272,1000,Buckmaster-Dudek-1999-712-JNeurophysiol-Fig3-1000.jpeg,figure,612624,,,,,,,73
"Hamam BN, Amaral DG, Alonso AA",Morphological and electrophysiological characteristics of layer V neurons of the rat lateral entorhinal cortex,The Journal of Comparative Neurology,2002,12209840,6085,Hamam-Alonso-2002-45-JCompNeuro-Fig6.jpeg,figure,612633,,,,,,,293
"Mercer A, Botcher NA, Eastlake K, Thomson AM",SP-SR interneurones: a novel class of neurones of the CA2 region of the hippocampus,Hippocampus,2012,22431345,3008,Mercer-Thomson-2012-1758-Hippocampus-Fig1A.jpeg,figure,612637,,not yet in database,,1,,,434
"Mercer A, Botcher NA, Eastlake K, Thomson AM",SP-SR interneurones: a novel class of neurones of the CA2 region of the hippocampus,Hippocampus,2012,22431345,3008,Mercer-Thomson-2012-1758-Hippocampus-Fig5A1.jpeg,figure,612638,,not yet in database,,1,,,435
"Szabó GG, Holderith N, Gulyás AI, Freund TF, Hájos N",Distinct synaptic properties of perisomatic inhibitory cell types and their different modulation by cholinergic receptor activation in the CA3 region of the mouse hippocampus,European Journal of Neuroscience,2010,20529124,2047,Szabo-Hajos-2010-2234-EurJNeurosci-Fig1A-Bmiddle.jpeg,figure,612642,,,,1,,,596
"Markwardt SJ, Dieni CV, Wadiche JI, Overstreet-Wadiche L",Ivy/neurogliaform interneurons coordinate activity in the neurogenic niche,Nature Neuroscience,2011,21983681,1040,Markwardt-OverstreetWadiche-2011-1407-Suppl-Fig3a.jpeg,figure,612645,1,,,1,,,425
"Middleton S, Jalics J, Kispersky T, Lebeau FE, Roopun AK, Kopell NJ, Whittington MA, Cunningham MO",NMDA receptor-dependent switching between different gamma rhythm-generating microcircuits in entorhinal cortex,Proceedins of the National Academy of Sciences of the United States of America,2008,18997013,6096,Middleton-Cunningham-2008-18572-PNAS-PMID18997013-Fig2A.jpeg,figure,612646,,,,1,,,440
"Martí-Subirana A, Soriano E, García-Verdugo JM",Morphological aspects of the ectopic granule-like cellular populations in the albino rat hippocampal formation: a Golgi study,Journal of Anatomy,1986,2447048,1041,MartiSubirana-GarciaVerdugo-1986-31-JAnat-PMID2447048-Fig8BCD.jpeg,figure,612650,,,,1,,,426
"Scharfman HE, Sollas AE, Berger RE, Goodman JH, Pierce JP",Perforant path activation of ectopic granule cells that are born after pilocarpine-induced seizures,Neuroscience,2003,14580952,1041,Scharfman-Pierce-2003-1017-Neurosci-PMID14580952-Fig1C.jpeg,figure,612654,,,,1,,,503
"Scharfman HE, Sollas AE, Berger RE, Goodman JH, Pierce JP",Perforant path activation of ectopic granule cells that are born after pilocarpine-induced seizures,Neuroscience,2003,14580952,1041,Scharfman-Pierce-2003-1017-Neurosci-PMID14580952-Tab1.jpeg,figure,612657,,,,1,,,504
"Scharfman HE, Sollas AE, Berger RE, Goodman JH, Pierce JP",Perforant path activation of ectopic granule cells that are born after pilocarpine-induced seizures,Neuroscience,2003,14580952,1041,Scharfman-Pierce-2003-1017-Neurosci-PMID14580952-Fig11.jpeg,figure,612658,,,,1,,,502
"McCloskey DP, Hintz TM, Pierce JP, Scharfman HE",Stereological methods reveal the robust size and stability of ectopic hilar granule cells after pilocarpine-induced status epilepticus in the adult rat,European Journal of Neuroscience,2006,17042797,1041,McCloskey-Scharfman-2006-2203-EurJNeurosci-PMID17042797-Fig2.pd.jpeg,figure,612662,,,,1,,,428
"Pierce JP, McCloskey DP, Scharfman HE",Morphometry of hilar ectopic granule cells in the rat,Journal of Comparative Neurology,2011,21344409,1041,Pierce-Scharfman-2011-1196-JComNeurol-Tab1.jpeg,table,612667,,,,1,,,482
"Pierce JP, McCloskey DP, Scharfman HE",Morphometry of hilar ectopic granule cells in the rat,Journal of Comparative Neurology,2011,21344409,1041,Pierce-Scharfman-2011-1196-JComNeurol-Tab2.jpeg,table,612669,,,,1,,,483
"Pierce JP, McCloskey DP, Scharfman HE",Morphometry of hilar ectopic granule cells in the rat,Journal of Comparative Neurology,2011,21344409,1041,Pierce-Scharfman-2011-1196-JComNeurol-PMID21344409-Fig5.jpeg,figure,612670,,,,1,,,481
"Scharfman HE, Pierce JP",New insights into the role of hilar ectopic granule cells in the dentate gyrus based on quantitative anatomic analysis and three-dimensional reconstruction,Epilepsia,2012,22612815,1041,Scharfman-Pierce-2012-98-Epilepsia-Fig2C.jpeg,figure,612672,,,,1,,,505
