source_id,target_id,subregion,parcel,NPS_mean,NPS_std
1026,1005,DG,H,0.024473539,0.010891499
1026,1005,DG,SMi,0.005785812,0.001993201
1026,1005,DG,SMo,0.00394416,0.002189323
1026,1006,DG,H,0.016313888,0.009926339
1026,1006,DG,SG,0.003228378,0.000410047
1026,1006,DG,SMi,0.002498033,0.000490426
1026,1006,DG,SMo,0.002164,0.000543806
1026,1007,DG,SMo,0.004511438,0.00086673
1026,1008,DG,SMo,0.010509986,0.007430197
1026,1009,DG,H,0.019194668,0.002957738
1026,1009,DG,SG,0.004245134,0.001148078
1026,1009,DG,SMi,0.004684585,0.00181874
1026,1009,DG,SMo,0.005368107,0.002345198
1026,1010,DG,H,0.027347255,0.001723249
1026,1010,DG,SG,0.005257356,0.000108757
1026,1010,DG,SMi,0.00712704,0.001171447
1026,1010,DG,SMo,0.027372778,0.005258814
1026,1013,DG,H,0.050872442,0.004706677
1026,1026,DG,H,0.049998431,0.003151177
1026,1026,DG,SG,0.008065446,0.001003725
1026,1026,DG,SMi,0.00646154,0.001578303
1026,1027,DG,H,0.044718405,0.016952233
1026,1027,DG,SG,0.005095427,0.000663816
1026,1027,DG,SMi,0.003816802,0.000995297
1026,1027,DG,SMo,0.004246812,0.001640185
1026,1035,DG,H,0.021862291,0.007118471
1026,1035,DG,SG,0.005686364,0.002063472
1026,1035,DG,SMi,0.005508539,0.001624864
1026,1035,DG,SMo,0.014695807,0.009564993
1026,1036,DG,H,0.057725999,0.003637523
1026,1036,DG,SG,0.009559019,0.000197743
1026,1036,DG,SMi,0.010428452,0.001714089
1026,1036,DG,SMo,0.016893859,0.003245621
1026,1040,DG,SG,0.003318702,6.86525E-05
1026,1040,DG,SMi,0.004144531,0.000681222
1026,1041,DG,H,0.034972883,0.002203767
1026,1041,DG,SMi,0.008121634,0.001334925
1026,1041,DG,SMo,0.010468758,0.002011241
1026,1043,DG,H,0.074310313,0.004682561
1026,1043,DG,SG,0.004392898,9.08739E-05
1026,1043,DG,SMi,0.004134395,0.000679556
1026,1043,DG,SMo,0.003330969,0.00063994
1026,2000,CA3,SL,0.001956067,0.000578636
1026,2000,CA3,SO,0.006841395,0.002886813
1026,2000,CA3,SP,0.000947546,0.000491466
1026,2004,CA3,SL,0.005024107,0.001486211
1026,2004,CA3,SO,0.005852732,0.002469634
1026,2004,CA3,SP,0.003214496,0.001667269
1026,2005,CA3,SL,0.001575848,0.000466161
1026,2009,CA3,SO,0.011760846,0.004962637
1026,2013,CA3,SL,0.003108482,0.00111231
1026,2014,CA3,SL,0.003646159,0.00215484
1026,2019,CA3,SL,0.009913487,0.00331584
1026,2019,CA3,SP,0.001626088,0.000849762
1026,2020,CA3,SO,0.012353067,0.005515557
1026,2021,CA3,SO,0.010558564,0.005382729
1026,2022,CA3,SO,0.005235356,0.002209124
1026,2028,CA3,SL,0.005614267,0.001660789
1026,2028,CA3,SO,0.005052658,0.002132032
1026,2028,CA3,SP,0.001829821,0.000949077
1026,2035,CA3,SL,0.00240445,0.000711275
1026,2035,CA3,SO,0.002879873,0.001215199
1026,2035,CA3,SP,0.001393826,0.000722939
1026,2036,CA3,SL,0.002413769,0.001483752
1026,2036,CA3,SP,0.000856581,0.000444286
1026,2043,CA3,SL,0.00452199,0.001337676
1026,2043,CA3,SO,0.003270184,0.001379895
1026,2043,CA3,SP,0.00205737,0.001067101
1026,2044,CA3,SL,0.001134786,0.000335688
1026,2044,CA3,SO,0.000389653,0.000164419
1026,2044,CA3,SP,0.000419276,0.000217467
1026,2045,CA3,SL,0.006271806,0.0018553
1026,2045,CA3,SO,0.0031557,0.001331587
1026,2045,CA3,SP,0.00138751,0.000719663
1026,2046,CA3,SL,0.001604802,0.000582907
1026,2046,CA3,SO,0.00081513,0.000352237
1026,2046,CA3,SP,0.001356283,0.000741823
1026,2047,CA3,SO,0.005994676,0.00302082
1026,2049,CA3,SL,0.001486353,0.000439687
1026,2049,CA3,SO,0.001969443,0.000831031
1026,2049,CA3,SP,0.000900265,0.000466942
1026,4011,DG,SMo,0.003786455,0.001927639
1027,1000,DG,SMi,0.013664196,0.001689645
1027,1001,DG,SMi,0.012256344,0.004253807
1027,1002,DG,H,0.043566705,0.006620706
1027,1004,DG,H,0.01853655,0.002524271
1027,1004,DG,SMi,0.005489139,0.000432993
1027,1005,DG,H,0.015745275,0.00726038
1027,1005,DG,SMi,0.011143873,0.003486533
1027,1006,DG,H,0.010495689,0.006510683
1027,1006,DG,SG,0.002125327,0.000434687
1027,1006,DG,SMi,0.004811384,0.000641006
1027,1009,DG,H,0.012349065,0.002417327
1027,1009,DG,SG,0.002794685,0.000878615
1027,1009,DG,SMi,0.009022832,0.003252425
1027,1010,DG,H,0.017594106,0.002395931
1027,1010,DG,SG,0.003461057,0.000559438
1027,1010,DG,SMi,0.013727169,0.001082824
1027,1013,DG,H,0.03272925,0.004978026
1027,1026,DG,H,0.032166947,0.004380609
1027,1026,DG,SG,0.005309698,0.001077568
1027,1026,DG,SMi,0.012445371,0.002453648
1027,1027,DG,H,0.028769994,0.011446042
1027,1027,DG,SG,0.003354455,0.000692928
