source_id,target_id,subregion,parcel,NC_mean,NC_std
1009,1035,DG,SMi,4.918520073,4.651550902
1009,1036,DG,SMi,8.193120507,7.24224346
1009,1040,DG,SMi,2.91486625,1.729476281
1009,1041,DG,SMi,5.40006495,3.75318134
1009,1043,DG,SMi,3.195452374,2.177098943
1010,1002,DG,H,8.911332208,2.48002533
1010,1041,DG,H,5.664819352,0
1010,1043,DG,H,9.359165935,0
1010,1043,DG,SG,2.871121827,0
1013,1000,DG,SMo,4.237019977,9.195770129
1013,1001,DG,SMo,5.473207728,11.59730052
1013,1004,DG,SMo,1.801071886,4.159622297
1013,1005,DG,SMo,2.148905633,4.712188094
1013,1006,DG,SMo,1.733721384,4.103282761
1013,1007,DG,SMo,2.551011297,6.10562167
1013,1008,DG,SMo,4.575900768,11.27815368
1013,1009,DG,SMo,2.744637979,6.30417884
1013,1010,DG,SMo,9.09754688,18.74246081
1013,1027,DG,SMo,2.384753039,5.481670093
1013,1035,DG,SMo,5.806320161,13.70591392
1013,1036,DG,SMo,6.631303948,15.38947656
1013,1041,DG,SMo,4.085245647,8.384648182
1013,1043,DG,SMo,2.0085921,4.23524143
1013,4011,DG,SMo,2.255067575,5.316396475
1026,1000,DG,SMi,2.233988688,0.485279272
1026,1000,DG,SMo,3.255676653,1.968957137
1026,1001,DG,SMi,2.014720398,0.81724165
1026,1001,DG,SMo,4.204562745,2.312770042
1026,1002,DG,H,7.170647007,5.217883761
1026,1004,DG,H,4.666558912,5.282464444
1026,1004,DG,SMi,1.046873242,0.181481172
1026,1004,DG,SMo,1.072282991,0.22306519
1026,1005,DG,H,3.215532609,4.120010175
1026,1005,DG,SMi,1.331688923,1.618596108
1026,1005,DG,SMo,1.255908439,1.725481073
1026,1006,DG,H,2.880202016,4.115788694
1026,1006,DG,SG,0.622559235,0.340234796
1026,1006,DG,SMi,0.861531005,0.182204237
1026,1006,DG,SMo,0.945598779,0.279585288
1026,1007,DG,SMo,2.497245929,0.526191815
1026,1008,DG,SMo,4.405304873,3.153544979
1026,1009,DG,H,3.399027993,4.23479359
1026,1009,DG,SG,0.762323849,0.399570434
1026,1009,DG,SMi,1.275549314,1.119995971
1026,1009,DG,SMo,1.820507013,0.82089124
1026,1010,DG,H,4.839281454,6.110592559
1026,1010,DG,SG,0.899186764,0.410381279
1026,1010,DG,SMi,1.925647537,0.331822739
1026,1010,DG,SMo,6.848132387,1.384272001
1026,1013,DG,H,7.146704908,7.620941679
1026,1026,DG,H,7.43119971,8.073910335
1026,1026,DG,SG,1.045680807,0.918908922
