source_id,target_id,CP_mean_total,CP_stdev_total,parcel_count
1026,2046,0.003798203,0.010073607,3
1026,2047,0.00164666,0.00407968,1
1026,2049,0.00500656,0.013197062,3
1026,4011,0.001755723,0.001330636,1
1027,1000,0.004190453,0.002852665,1
1027,1001,0.004096769,0.003339335,1
1027,1002,0.007415042,0.004956817,1
1027,1004,0.007942344,0.010364192,2
1027,1005,0.011074126,0.020427583,2
1027,1006,0.010800317,0.024235507,3
1027,1009,0.011978568,0.02555108,3
1027,1010,0.012260451,0.024754506,3
1027,1013,0.005239522,0.005840635,1
1027,1026,0.016578251,0.031255548,3
1027,1027,0.013804186,0.035499422,3
1027,1035,0.011663,0.026006731,3
1027,1036,0.013361869,0.02589197,3
1027,1040,0.00729187,0.00975302,2
1027,1041,0.012008279,0.011011018,2
1027,1043,0.016624681,0.025306551,3
1035,1006,0.002023203,0.003725133,1
1035,1009,0.001868186,0.003301899,1
1035,1010,0.001779834,0.00330417,1
1035,1035,0.001790909,0.003504806,1
1035,1036,0.001999484,0.003494106,1
1035,1040,0.002159781,0.003018079,1
1036,1006,0.002190961,0.002275212,1
1036,1009,0.002011783,0.000863886,1
1036,1010,0.001912556,N/A,1
1036,1035,0.001922086,0.001144317,1
1036,1036,0.002125911,N/A,1
1036,1040,0.002336822,N/A,1
1040,1000,0.00315693,0.000467716,1
1040,1001,0.003020931,0.00147431,1
1040,1002,0.007227445,0.001814814,1
1040,1004,0.007589168,N/A,2
1040,1005,0.009929822,0.014150707,2
1040,1006,0.010659215,0.013014296,3
1040,1009,0.011789364,0.010310382,3
1040,1010,0.01236252,N/A,3
1040,1013,0.005422126,0.003106092,1
1040,1026,0.017029091,0.024522781,3
1040,1027,0.014306013,0.032570972,3
1040,1035,0.011577354,0.009172591,3
1040,1036,0.013626607,N/A,3
1040,1040,0.006586698,N/A,2
1040,1041,0.011281128,N/A,2
1040,1043,0.016630676,N/A,3
1041,1002,0.003757841,0.00125636,1
1041,1004,0.001635815,N/A,1
1041,1005,0.001755053,0.002521425,1
1041,1006,0.00110851,0.001393417,1
1041,1009,0.001207634,0.000332966,1
1041,1010,0.001429746,N/A,1
1041,1013,0.002636119,0.002365449,1
1041,1026,0.002249241,0.000798788,1
1041,1027,0.002251999,0.003415909,1
1041,1035,0.00121951,0.000579544,1
1041,1036,0.002074417,N/A,1
1041,1041,0.002394977,N/A,1
1041,1043,0.003891416,N/A,1
1043,1000,0.000209781,0.00027391,1
1043,1001,0.000253849,0.000405435,1
1043,1002,0.01051472,0.001866858,1
1043,1004,0.008330051,N/A,2
1043,1005,0.009174761,0.032207845,2
1043,1006,0.006556254,0.00806754,2
1043,1009,0.007253763,0.034404843,2
1043,1010,0.008090072,N/A,2
1043,1013,0.008453139,0.002868207,1
