source_id,target_id,NPS_mean_total,NPS_stdev_total,parcel_count
1008,1009,0.019682717,0.011561075,1
1008,1010,0.100365111,0.043869371,1
1008,1027,0.015571374,0.00857568,1
1008,1035,0.053883691,0.040957661,1
1008,1036,0.061943076,0.027075184,1
1008,1041,0.038384781,0.016777904,1
1008,1043,0.01221334,0.005338424,1
1008,4011,0.013883426,0.008925604,1
1009,1000,0.010079138,0.001091552,1
1009,1001,0.009040662,0.003091,1
1009,1004,0.004048961,0.000208837,1
1009,1005,0.008220069,0.002524549,1
1009,1006,0.003549027,0.000422727,1
1009,1009,0.006655523,0.002365978,1
1009,1010,0.010125589,0.000522257,1
1009,1026,0.009180094,0.001724964,1
1009,1027,0.00542264,0.001132845,1
1009,1035,0.007826139,0.001958917,1
1009,1036,0.014816001,0.000764178,1
1009,1040,0.005888253,0.000303704,1
1009,1041,0.011538638,0.000595139,1
1009,1043,0.005873854,0.000302961,1
1010,1002,0.07335727,0.004947969,1
1010,1041,0.037885529,N/A,1
1010,1043,0.099530521,N/A,2
1013,1000,0.025216815,0.003150354,1
1013,1001,0.03579996,0.008802402,1
1013,1004,0.005813123,0.000618102,1
1013,1005,0.009494369,0.005046413,1
1013,1006,0.005209174,0.001009376,1
1013,1007,0.010859918,0.001154721,1
1013,1008,0.025299605,0.017421793,1
1013,1009,0.012922089,0.005253065,1
1013,1010,0.065891662,0.007006173,1
1013,1027,0.010222912,0.00359345,1
1013,1035,0.035375699,0.022318173,1
1013,1036,0.040666843,0.004324052,1
1013,1041,0.025200361,0.002679521,1
1013,1043,0.008018297,0.000852575,1
1013,4011,0.009114741,0.004405043,1
1026,1000,0.017569938,0.002517654,2
1026,1001,0.021235453,0.004975351,2
1026,1002,0.067717551,0.006250684,1
1026,1004,0.034076947,0.001931559,3
1026,1005,0.034203512,0.01128675,3
1026,1006,0.024204299,0.009961756,4
1026,1007,0.004511438,0.00086673,1
1026,1008,0.010509986,0.007430197,1
1026,1009,0.033492493,0.004344429,4
1026,1010,0.067104429,0.005657635,4
1026,1013,0.050872442,0.004706677,1
1026,1026,0.064525417,0.003664481,3
1026,1027,0.057877447,0.017073362,4
1026,1035,0.047753001,0.012209006,4
1026,1036,0.094607329,0.005171347,4
