"source_id","target_id","NC_mean_total","NC_stdev_total","parcel_count"
4091,4093,7.07195216064719,16.6931199297748,1
6007,6082,4.11964339841458,2.3817378761928,2
6023,6033,2.3123978034018,3.08346947164877,2
6085,6023,1.80276737701104,"N/A",1
1013,1036,6.6313039484571,15.3894765642094,1
1040,1010,5.9332519873339,"N/A",3
2001,2045,4.1670218977951,8.13210878535375,1
2022,2046,1.52608881027567,0.142181176756899,1
2023,2023,7.43564207872863,11.2658141249054,1
2023,2043,3.68393539606233,5.01031517466389,1
4006,4003,3.08457782937512,"N/A",1
4033,4055,3.15020604569334,7.99021520108249,1
6038,6082,22.7530896726316,11.5755277894396,3
1026,1040,2.19696629554705,0.428216010209649,2
2009,2035,6.12672403841115,"N/A",2
2013,2036,7.46526290730315,8.51882828046089,3
2019,2049,4.54351581902462,5.5824528016556,2
