# ----------------------------------------
# All Web Site Data
# Landing Pages
# 20150101-20230701
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
/php/property_page_morphology.php?id_neuron=1000&val_property=CA2_SP&color=red&page=1,5,0.00%,0,60.00%,2.00,00:07:27,0.00%,0,$0.00
/php/property_page_phases.php?id_neuron=2000,5,0.00%,0,20.00%,5.00,00:15:50,0.00%,0,$0.00
/php/synapse_probabilities_noc.php,5,0.00%,0,20.00%,4.00,00:10:03,0.00%,0,$0.00
/php/synapse_probabilities_ps.php,5,0.00%,0,40.00%,13.80,00:29:40,0.00%,0,$0.00
/php/synapse_probabilities_sd.php,5,0.00%,0,0.00%,3.60,00:07:52,0.00%,0,$0.00
/devur3/morphology.php,4,0.00%,0,25.00%,12.50,00:36:02,0.00%,0,$0.00
/hippocampome/php_v2/,4,0.00%,0,0.00%,4.00,00:09:15,0.00%,0,$0.00
/hippocampome/php_v2/synapse_probabilities_dal.php,4,0.00%,0,0.00%,15.25,00:14:47,0.00%,0,$0.00
/hippocampome/php/Help_Search_Engine.php,4,0.00%,0,75.00%,1.25,00:00:02,0.00%,0,$0.00
/php_v2_dev/synapse_probabilities_dal.php,4,0.00%,0,25.00%,2.00,00:00:42,0.00%,0,$0.00
/php_v2/Help_usage_citations.php,4,0.00%,0,25.00%,5.25,00:17:41,0.00%,0,$0.00
/php/firing_patterns.php?show_only=1,4,25.00%,1,25.00%,3.75,00:03:00,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=1010&val1_property=DG_SG&color1=violetSoma&id2_neuron=1000&val2_property=DG_SG&color2=somata&connection_type=1&known_conn_flag=1&axonic_basket_flag=1&page=1,4,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=4000&val1_property=CA1_SO&color1=violet&id2_neuron=4079&val2_property=CA1_SO&color2=blueSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,4,0.00%,0,25.00%,2.50,00:00:51,0.00%,0,$0.00
