# ----------------------------------------
# All Web Site Data
# Exit Pages
# 20150101-20230701
# ----------------------------------------

Page,Exits,Pageviews,% Exit
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1027&val2_property=DG_H&color2=violetSoma&connection_type=2&known_conn_flag=0&axonic_basket_flag=0&page=1,5,9,55.56%
/php/property_page_connectivity.php?id1_neuron=1010&val1_property=DG_SG&color1=violetSoma&id2_neuron=1000&val2_property=DG_SG&color2=somata&connection_type=1&known_conn_flag=1&axonic_basket_flag=1&page=1,5,11,45.45%
/php/property_page_connectivity.php?id1_neuron=2042&val1_property=DG_H&color1=violet&id2_neuron=1013&val2_property=DG_H&color2=blueSoma&connection_type=1&known_conn_flag=1&axonic_basket_flag=0&page=1,5,7,71.43%
/php/property_page_markers.php?id_neuron=1000&val_property=alpha-actinin-2&color=positive&page=markers,5,9,55.56%
/php/property_page_markers.php?id_neuron=1000&val_property=CaM&color=positive&page=markers,5,13,38.46%
/php/property_page_markers.php?id_neuron=1000&val_property=DYN&color=positive&page=markers,5,9,55.56%
/php/property_page_markers.php?id_neuron=4000&val_property=CB&color=positive-negative-weak_positive&page=markers,5,12,41.67%
/php/property_page_markers.php?id_neuron=4000&val_property=CB1&color=positive-negative-weak_positive&page=markers,5,5,100.00%
/php/property_page_markers.php?id_neuron=4000&val_property=Ctip2&color=negative&page=markers,5,6,83.33%
/php/property_page_markers.php?id_neuron=4094&val_property=CR&color=positive&page=markers,5,9,55.56%
/php/property_page_morphology.php?id_neuron=1000&val_property=DG_H&color=red&page=1,5,35,14.29%
/php/property_page_morphology.php?id_neuron=1000&val_property=DG_SMi&color=blue&page=1,5,19,26.32%
/php/property_page_morphology.php?id_neuron=1002&val_property=DG_SMi&color=red&page=1,5,8,62.50%
/php/property_page_morphology.php?id_neuron=2000&val_property=CA3_SO&color=violet&page=1,5,11,45.45%
/php/property_page_morphology.php?id_neuron=2000&val_property=CA3_SR&color=blue&page=1,5,7,71.43%
/php/property_page_synpro_pvals.php?id_neuron_source=1000&id_neuron_target=1041&color=blue&page=1&nm_page=ps,5,56,8.93%
/php/property_page_synpro.php?id_neuron=1000&val_property=DG_H&color=red&page=1&sp_page=dal,5,54,9.26%
/php/search.php?operator=AND&N=2,5,31,16.13%
/php/synapse_probabilities_sd.php?refreshed=,5,6,83.33%
/synapse_probabilities/php/property_page_morphology.php?id_neuron=1041&val_property=DG_H&color=violetSoma&page=1,5,9,55.56%
/synaptome/php/index.php,5,68,7.35%
/devur2/property_page_phases.php?id_neuron=1000&val_property=theta,4,40,10.00%
/devur3/property_page_morphology.php,4,9,44.44%
/hippocampome/php_v2/synapse_probabilities_dal.php,4,43,9.30%
/hippocampome/php/Help_Search_Engine.php,4,5,80.00%
/php_bak_20221004/index.php,4,7,57.14%
/php_v2_dev/property_page_phases.php,4,35,11.43%
/php_v2/property_page_fp.php,4,10,40.00%
/php/ephys.php,4,17,23.53%
/php/firing_patterns.php?show_only=8,4,9,44.44%
/php/Help_Bibliography.php,4,8,50.00%
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1002&val2_property=DG_H&color2=violetSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,4,13,30.77%
/php/property_page_connectivity.php?id1_neuron=2036&val1_property=CA3_SR&color1=violetSoma&id2_neuron=2001&val2_property=CA3_SR&color2=blueSoma&connection_type=1&known_conn_flag=1&axonic_basket_flag=0&page=1,4,5,80.00%
/php/property_page_connectivity.php?id1_neuron=6003&val1_property=CA3_SLM&color1=red&id2_neuron=2005&val2_property=CA3_SLM&color2=violetSoma&connection_type=2&known_conn_flag=0&axonic_basket_flag=0&page=1,4,4,100.00%
