"source_id","target_id","subregion","parcel","volume_1","volume_2","selected_volume"
2000,2004,"CA3","SR",8229350000,8229350000,8229350000
2000,2005,"CA3","SR",8229350000,8229350000,8229350000
2000,2008,"CA3","SR",8229350000,8229350000,8229350000
2000,2009,"CA3","SO",7025690000,7025690000,7025690000
2000,2013,"CA3","SR",8229350000,8229350000,8229350000
2000,2014,"CA3","SR",8229350000,8229350000,8229350000
2000,2020,"CA3","SO",7025690000,7025690000,7025690000
2000,2021,"CA3","SO",7025690000,7025690000,7025690000
2000,2022,"CA3","SO",7025690000,7025690000,7025690000
2000,2023,"CA3","SR",8229350000,8229350000,8229350000
2000,2028,"CA3","SO",7025690000,7025690000,7025690000
2000,2028,"CA3","SR",8229350000,8229350000,8229350000
2000,2035,"CA3","SO",7025690000,7025690000,7025690000
2000,2035,"CA3","SR",8229350000,8229350000,8229350000
2000,2036,"CA3","SR",8229350000,8229350000,8229350000
2000,2043,"CA3","SO",7025690000,7025690000,7025690000
2000,2043,"CA3","SR",8229350000,8229350000,8229350000
2000,2044,"CA3","SO",7025690000,7025690000,7025690000
2000,2044,"CA3","SR",8229350000,8229350000,8229350000
2000,2045,"CA3","SO",7025690000,7025690000,7025690000
2000,2045,"CA3","SR",8229350000,8229350000,8229350000
2000,2046,"CA3","SO",7025690000,7025690000,7025690000
2000,2046,"CA3","SR",8229350000,8229350000,8229350000
2000,2047,"CA3","SO",7025690000,7025690000,7025690000
2000,2049,"CA3","SO",7025690000,7025690000,7025690000
2000,2049,"CA3","SR",8229350000,8229350000,8229350000
2001,2000,"CA3","SL",4854930000,4854930000,4854930000
2001,2004,"CA3","SL",4854930000,4854930000,4854930000
2001,2005,"CA3","SL",4854930000,4854930000,4854930000
2001,2013,"CA3","SL",4854930000,4854930000,4854930000
2001,2014,"CA3","SL",4854930000,4854930000,4854930000
2001,2019,"CA3","SL",4854930000,4854930000,4854930000
2001,2028,"CA3","SL",4854930000,4854930000,4854930000
2001,2035,"CA3","SL",4854930000,4854930000,4854930000
2001,2036,"CA3","SL",4854930000,4854930000,4854930000
2001,2043,"CA3","SL",4854930000,4854930000,4854930000
2001,2044,"CA3","SL",4854930000,4854930000,4854930000
2001,2045,"CA3","SL",4854930000,4854930000,4854930000
2001,2046,"CA3","SL",4854930000,4854930000,4854930000
2001,2049,"CA3","SL",4854930000,4854930000,4854930000
2004,2000,"CA3","SO",7025690000,7025690000,7025690000
2004,2000,"CA3","SR",8229350000,8229350000,8229350000
2004,2001,"CA3","SR",8229350000,8229350000,8229350000
2004,2004,"CA3","SO",7025690000,7025690000,7025690000
2004,2004,"CA3","SR",8229350000,8229350000,8229350000
2004,2005,"CA3","SR",8229350000,8229350000,8229350000
2004,2008,"CA3","SR",8229350000,8229350000,8229350000
2004,2009,"CA3","SO",7025690000,7025690000,7025690000
2004,2013,"CA3","SR",8229350000,8229350000,8229350000
2004,2014,"CA3","SR",8229350000,8229350000,8229350000
2004,2020,"CA3","SO",7025690000,7025690000,7025690000
2004,2021,"CA3","SO",7025690000,7025690000,7025690000
2004,2022,"CA3","SO",7025690000,7025690000,7025690000
2004,2023,"CA3","SR",8229350000,8229350000,8229350000
2004,2028,"CA3","SO",7025690000,7025690000,7025690000
2004,2028,"CA3","SR",8229350000,8229350000,8229350000
2004,2035,"CA3","SO",7025690000,7025690000,7025690000
2004,2035,"CA3","SR",8229350000,8229350000,8229350000
2004,2036,"CA3","SR",8229350000,8229350000,8229350000
2004,2043,"CA3","SO",7025690000,7025690000,7025690000
2004,2043,"CA3","SR",8229350000,8229350000,8229350000
2004,2044,"CA3","SO",7025690000,7025690000,7025690000
2004,2044,"CA3","SR",8229350000,8229350000,8229350000
2004,2045,"CA3","SO",7025690000,7025690000,7025690000
2004,2045,"CA3","SR",8229350000,8229350000,8229350000
2004,2046,"CA3","SO",7025690000,7025690000,7025690000
2004,2046,"CA3","SR",8229350000,8229350000,8229350000
2004,2047,"CA3","SO",7025690000,7025690000,7025690000
2004,2049,"CA3","SO",7025690000,7025690000,7025690000
2004,2049,"CA3","SR",8229350000,8229350000,8229350000
2005,2000,"CA3","SLM",759922000,759922000,759922000
2005,2000,"CA3","SR",8229350000,8229350000,8229350000
2005,2001,"CA3","SLM",759922000,759922000,759922000
2005,2001,"CA3","SR",8229350000,8229350000,8229350000
2005,2004,"CA3","SR",8229350000,8229350000,8229350000
2005,2005,"CA3","SLM",759922000,759922000,759922000
2005,2005,"CA3","SR",8229350000,8229350000,8229350000
2005,2008,"CA3","SR",8229350000,8229350000,8229350000
2005,2013,"CA3","SR",8229350000,8229350000,8229350000
2005,2014,"CA3","SR",8229350000,8229350000,8229350000
2005,2023,"CA3","SR",8229350000,8229350000,8229350000
2005,2028,"CA3","SLM",759922000,759922000,759922000
2005,2028,"CA3","SR",8229350000,8229350000,8229350000
2005,2035,"CA3","SR",8229350000,8229350000,8229350000
2005,2036,"CA3","SR",8229350000,8229350000,8229350000
2005,2043,"CA3","SLM",759922000,759922000,759922000
2005,2043,"CA3","SR",8229350000,8229350000,8229350000
2005,2044,"CA3","SLM",759922000,759922000,759922000
2005,2044,"CA3","SR",8229350000,8229350000,8229350000
2005,2045,"CA3","SR",8229350000,8229350000,8229350000
2005,2046,"CA3","SR",8229350000,8229350000,8229350000
2005,2049,"CA3","SR",8229350000,8229350000,8229350000
2008,2000,"CA3","SLM",759922000,759922000,759922000
2008,2001,"CA3","SLM",759922000,759922000,759922000
2008,2005,"CA3","SLM",759922000,759922000,759922000
2008,2028,"CA3","SLM",759922000,759922000,759922000
2008,2043,"CA3","SLM",759922000,759922000,759922000
2008,2044,"CA3","SLM",759922000,759922000,759922000
2009,2000,"CA3","SLM",759922000,759922000,759922000
2009,2000,"CA3","SO",7025690000,7025690000,7025690000
2009,2000,"CA3","SR",8229350000,8229350000,8229350000
2009,2001,"CA3","SLM",759922000,759922000,759922000
2009,2001,"CA3","SR",8229350000,8229350000,8229350000
2009,2004,"CA3","SO",7025690000,7025690000,7025690000
2009,2004,"CA3","SR",8229350000,8229350000,8229350000
2009,2005,"CA3","SLM",759922000,759922000,759922000
2009,2005,"CA3","SR",8229350000,8229350000,8229350000
2009,2008,"CA3","SR",8229350000,8229350000,8229350000
